,Unnamed: 0,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/155-6~0500000008.jpg,early_planting,B73,no_treatment,1309,0.8596912286395122,[[341.8392  277.35147 379.97867 323.97787]],"{'size': [672, 1008], 'counts': b'PgP75hd0;G7I5K4L4L3M2N3N0000000000000001O0000001O1O0O2O1O1O2N1O2N2N2N1N2O2N0O3M6Gdjk<'}",0.94137967,360.5,372.5,False,False,5,8,/155-6,5,1969.0,0.4883432539682539
1,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-4~0300000008.jpg,early_planting,B73,no_treatment,954,0.5700975837517802,[[372.5435  293.24957 395.41428 357.12067]],"{'size': [672, 1008], 'counts': b'iSe75[d0c0I5K5I7J5M3L4M3M3O2O02N3M2N3M2N3M3L4L5I;[OToa<'}",0.9269356,383.5,346.0,False,False,3,8,/159-4,3,1118.0,0.415922619047619
2,1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-4~0300000008.jpg,early_planting,B73,no_treatment,733,0.6330263451346697,[[397.837   298.0749  416.6646  354.32147]],"{'size': [672, 1008], 'counts': b'jTV8U1ic04K4N1M3O1000000002N2N1O3M1K4I9C`VT<'}",0.9121416,407.0,343.5,False,False,3,8,/159-4,3,1108.0,0.4122023809523809
3,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-6~0400000008.jpg,early_planting,B73,no_treatment,1732,0.6632241367159805,[[434.4799  351.68436 468.69952 425.17447]],"{'size': [672, 1008], 'counts': b'ckm8`0Zd08J5K5M2N3M2N2N3L3N2N2N2N2M3N2N2N2O1O1O1O100O010000O102L9G<D7Fb0^OnoQ;'}",0.95774895,451.0,283.0,False,False,4,8,/159-6,4,1149.0,0.3419642857142857
4,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-8~0000000008.jpg,early_planting,B73,no_treatment,2055,0.7848047808470141,[[378.6608    60.48825  417.30115  126.795364]],"{'size': [672, 1008], 'counts': b'oih7b0Qd0?I6K4L5M2N2O2N2O1O001O001O0100O0100O001O0O1O1O1O1001O1O1O1O2N2N2N3L3M5K7G\\hS<'}",0.95609367,397.5,578.5,False,False,0,8,/159-8,6,578.5,0.1228741496598639
5,1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-8~0000000008.jpg,early_planting,B73,no_treatment,289,0.9187979033278766,[[363.31348 546.71906 380.77097 572.69025]],"{'size': [672, 1008], 'counts': b'[]_77gd07I4M2O1N2O000001O1O1O2N1N3M4Jcbk<'}",0.9098455,371.5,112.0,False,False,0,8,/159-8,6,112.0,0.0238095238095238
6,1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1B73/defoliated/153-3~0400000008.jpg,early_planting,gt1B73,defoliated,1094,0.6310537673643701,[[374.45697  80.29846 396.99075 145.6014 ]],"{'size': [672, 1008], 'counts': b'Vkf7n0oc0;D7G7M3M2O1O100O100000O2O1M3N2M3M4L6Ik0lNgk`<'}",0.9243848,386.0,559.0,False,False,4,8,/153-3,5,2529.0,0.6272321428571429
7,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1B73/no_treatment/153-2~0100000008.jpg,early_planting,gt1B73,no_treatment,492,0.7642902803475976,[[347.25308 188.93294 364.73447 231.1203 ]],"{'size': [672, 1008], 'counts': b'^bT7a0[d06L3M4L3N2N101O0002N1O1N2N2M5I>_ObhU='}",0.89660984,356.0,460.0,False,False,1,8,/153-2,7,654.0,0.1216517857142857
8,0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1B73/no_treatment/153-2~0500000008.jpg,early_planting,gt1B73,no_treatment,373,0.5532865234650048,[[334.17313 159.82242 348.50977 203.04257]],"{'size': [672, 1008], 'counts': b'lPl6>\\d06K6K3N3O1N2N10O2N1N3L4KRo`='}",0.9466164,341.0,489.5,False,False,5,8,/153-2,7,2671.0,0.4968377976190476
9,1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1B73/no_treatment/153-2~0500000008.jpg,early_planting,gt1B73,no_treatment,1191,0.8354986413735211,[[370.28714 259.51755 404.9258  306.0874 ]],"{'size': [672, 1008], 'counts': b'fgc7b0Zd0:H5L2M2O100O1O100O1000O0100O10000O100O01N2N2O1N2O101N2O2N1O3L;D[S\\<'}",0.9338506,387.0,389.0,False,False,5,8,/153-2,7,2068.0,0.384672619047619
