"...1","image_id","planting_date","genotype","treatment","pistil_area","pistil_circularity","bbox","segm","confidence","center_x","center_y","perimeter_intersect","possible_overlap","scan_position","scan_angle","plant_id","total_scans_for_sample","y_pos_all_overlapped","y_pos_all_overlapped_len_standardized","plant","pistil_count","year"
1106,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",1398,0.550943587249629,"[[275.6083  410.30762 303.811   494.185  ]]","{'size': [672, 1008], 'counts': b'\\be5;hc0S1E:E<I4M1O10O2O2M2N2N2N2N3M2N2N3M2M3N2M4L4L4L5K5L4K;AUa]>'}",0.9869327,289.5,216,FALSE,FALSE,0,8,"_test2",8,216,0.0357142857142857,"gt1-P_test__test2",26,21
1108,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",2182,0.561136541195635,"[[286.53827 346.22104 322.78738 451.32782]]","{'size': [672, 1008], 'counts': b'gfl5W1dc09I8I6J6K5K4M2M4M2N3N0O1O11N2N7I4L3M3M1O3M2N2N4L3M3M3M3M4K4M4L4K5J6JehQ>'}",0.9775295,304,267,FALSE,FALSE,0,8,"_test2",8,267,0.0441468253968254,"gt1-P_test__test2",26,21
1113,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0100000008.jpg","late_planting","gt1p","no_treatment",2092,0.545940736718123,"[[211.39781 338.21765 249.66092 435.64713]]","{'size': [672, 1008], 'counts': b'f`[4;`d0;F7J5L5K3M2N3M3N1N2N3M2O1N2N2N2O001O000O2M2L5M2N2N2O10N2N3L4K7I9G;F:E:Fgga?'}",0.9698854,230,283.5,FALSE,FALSE,1,8,"_test2",8,301,0.0497685185185185,"gt1-P_test__test2",26,21
1111,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0100000008.jpg","late_planting","gt1p","no_treatment",2292,0.569886879991506,"[[179.01443 295.53864 216.11862 391.8084 ]]","{'size': [672, 1008], 'counts': b'd_f3?\\d08G7H7J6J7K4L4M3M3N2M3N2O1N2N2O1O0O2O1O1O1O1O1N2O1N2O1O01O1J=Dc0]O;Bc0UOnRX`0'}",0.993803,197,326.5,FALSE,FALSE,1,8,"_test2",8,387,0.0639880952380952,"gt1-P_test__test2",26,21
1109,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",1546,0.578244063194935,"[[183.73296 242.0496  215.84264 319.4585 ]]","{'size': [672, 1008], 'counts': b'fPi3c0[d08G8J4K4L3M3L4J5J7K4N102N1100O100O3M4L4L5K5K6J5K4K3M4M3K4M4K5Jg^W`0'}",0.97479224,199.5,391,FALSE,FALSE,0,8,"_test2",8,391,0.0646494708994709,"gt1-P_test__test2",26,21
1110,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",3191,0.472896372952246,"[[192.7082  183.10123 229.71356 312.9931 ]]","{'size': [672, 1008], 'counts': b'nVP42fd0d0@:XOe0H5S]O]N20ca0j1X^O[N0Mba0o2M4M3N1N2O1N2O1N2O100O1N2O0100O2M4K6J;G7I4N3L3J7J6K5J8YOUPo?'}",0.89057386,211.5,422,FALSE,FALSE,0,8,"_test2",8,422,0.0697751322751322,"gt1-P_test__test2",26,21
1117,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0200000008.jpg","late_planting","gt1p","no_treatment",657,0.608026857112423,"[[160.26201 374.35684 181.3443  423.7824 ]]","{'size': [672, 1008], 'counts': b'cQZ3b0]d02N2M2L4I7K5K5N20000003M6J3M1N3M3M9F4L_Zn`0'}",0.90999234,170.5,273,FALSE,FALSE,2,8,"_test2",8,553,0.0914351851851851,"gt1-P_test__test2",26,21
1105,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",2017,0.605426355382024,"[[241.628    40.61632 278.4003  129.63065]]","{'size': [672, 1008], 'counts': b'Pln4e0Ud0=E:G8H8I5L4L4N1O002O0O01O1O0O2O1N2N1O2N2N2N2N2N1O1O2N2M3N3L6J9G6I5K7Fhnn>'}",0.98772323,259.5,586,FALSE,FALSE,0,8,"_test2",8,586,0.0968915343915343,"gt1-P_test__test2",26,21
1107,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",1597,0.761621396558306,"[[257.9788    0.      293.94257  58.82981]]","{'size': [672, 1008], 'counts': b'RZY58gd07J;E7H7J5K3M2N2N2N1O1O1O1O01O01O000001O001O1O2N1O2N2M4M2N3L4L4L6I7HPVe>'}",0.98301053,275,643,TRUE,FALSE,0,8,"_test2",8,643,0.106316137566138,"gt1-P_test__test2",26,21
1104,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg","late_planting","gt1p","no_treatment",701,0.57121319754415,"[[293.971      0.       313.8156    52.671227]]","{'size': [672, 1008], 'counts': b'VoP68ad0;H5L4G8G9K5O101O0001N6K4L4K4L4L3M5J9ER]W>'}",0.98841804,303.5,645.5,FALSE,FALSE,0,8,"_test2",8,645.5,0.106646825396825,"gt1-P_test__test2",26,21
1115,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0200000008.jpg","late_planting","gt1p","no_treatment",866,0.79949629786954,"[[504.31308 287.2138  529.56476 336.61743]]","{'size': [672, 1008], 'counts': b'ef[:`0\\d07J4M3N1N3N2M3N1O2N101N1001O00101N1O1O1N3L4I8FgQj9'}",0.95368874,516.5,359.5,FALSE,FALSE,2,8,"_test2",8,812.5,0.134259259259259,"gt1-P_test__test2",26,21
1112,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0100000008.jpg","late_planting","gt1p","no_treatment",1212,0.821224329096252,"[[235.36328  67.2549  263.37482 122.15394]]","{'size': [672, 1008], 'counts': b'`nj4o0mc07J5M2N2N3N001O0001O001O0000001O00001O1O1O1N2N3K5L6I]jX?'}",0.9900395,249,577,FALSE,FALSE,1,8,"_test2",8,888,0.146825396825397,"gt1-P_test__test2",26,21
1116,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0200000008.jpg","late_planting","gt1p","no_treatment",294,0.83224509766017,"[[211.32196 260.83618 226.9323  288.57123]]","{'size': [672, 1008], 'counts': b'a\\[49dd06L3M2N1O1O1O1O100O1001N3HmmP`0'}",0.95122224,218.5,397.5,FALSE,FALSE,2,8,"_test2",8,926.5,0.153108465608466,"gt1-P_test__test2",26,21
1114,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0200000008.jpg","late_planting","gt1p","no_treatment",1598,0.483764000950712,"[[228.54861 131.13736 255.26671 226.32774]]","{'size': [672, 1008], 'counts': b'h^f4g0Rd0;E:H8I6K4L4M4K4M3L3O2M2N2O1O100004[MY^Oi1bb0M3M4K4M5K9E?Adn]?'}",0.99081504,241.5,490.5,FALSE,FALSE,2,8,"_test2",8,1205.5,0.199239417989418,"gt1-P_test__test2",26,21
