,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/155-6~0500000008.jpg,early_planting,B73,no_treatment,1309,0.8596912286395122,[[341.8392  277.35147 379.97867 323.97787]],"{'size': [672, 1008], 'counts': b'PgP75hd0;G7I5K4L4L3M2N3N0000000000000001O0000001O1O0O2O1O1O2N1O2N2N2N1N2O2N0O3M6Gdjk<'}",0.94137967,360.5,372.5,False,False,05,08,/155-6,05,1969.0,0.48834325396825395
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-2~0200000008.jpg,early_planting,B73,no_treatment,197,0.882280988941513,[[336.3045  456.53363 349.44232 477.1038 ]],"{'size': [672, 1008], 'counts': b'acm69cd06L3N100O100001O1O1M8FbP`='}",0.88081056,342.5,205.5,False,True,02,08,/159-2,07,350.5,0.06510416666666667
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-2~0500000008.jpg,early_planting,B73,no_treatment,911,0.7296914456386278,[[236.57304 513.4106  266.0321  558.8873 ]],"{'size': [672, 1008], 'counts': b'jQl41[d0k0G5L4L3N2N1O1O000001O001O1O1O1O2N0OO26J4K3N4K3N2M5K5KnQW?'}",0.977136,250.5,136.5,False,True,05,08,/159-2,07,553.0,0.10286458333333333
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-2~0700000008.jpg,early_planting,B73,no_treatment,454,0.6784867993879313,[[248.41522 469.98282 269.2899  508.5662 ]],"{'size': [672, 1008], 'counts': b'_lS5;bd05K3N2N2N2N2N2N2N2O10O0O2M3N2L4L4L6H[UU?'}",0.8963863,258.0,182.0,False,True,07,08,/159-2,07,1190.0,0.22135416666666666
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-4~0300000008.jpg,early_planting,B73,no_treatment,954,0.5700975837517802,[[372.5435  293.24957 395.41428 357.12067]],"{'size': [672, 1008], 'counts': b'iSe75[d0c0I5K5I7J5M3L4M3M3O2O02N3M2N3M2N3M3L4L5I;[OToa<'}",0.9269356,383.5,346.0,False,False,03,08,/159-4,03,1118.0,0.41592261904761907
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-4~0300000008.jpg,early_planting,B73,no_treatment,733,0.6330263451346697,[[397.837   298.0749  416.6646  354.32147]],"{'size': [672, 1008], 'counts': b'jTV8U1ic04K4N1M3O1000000002N2N1O3M1K4I9C`VT<'}",0.9121416,407.0,343.5,False,False,03,08,/159-4,03,1108.0,0.41220238095238093
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-6~0400000008.jpg,early_planting,B73,no_treatment,1732,0.6632241367159805,[[434.4799  351.68436 468.69952 425.17447]],"{'size': [672, 1008], 'counts': b'ckm8`0Zd08J5K5M2N3M2N2N3L3N2N2N2N2M3N2N2N2O1O1O1O100O010000O102L9G<D7Fb0^OnoQ;'}",0.95774895,451.0,283.0,False,False,04,08,/159-6,04,1149.0,0.3419642857142857
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-8~0000000008.jpg,early_planting,B73,no_treatment,2055,0.7848047808470141,[[378.6608    60.48825  417.30115  126.795364]],"{'size': [672, 1008], 'counts': b'oih7b0Qd0?I6K4L5M2N2O2N2O1O001O001O0100O0100O001O0O1O1O1O1001O1O1O1O2N2N2N3L3M5K7G\\hS<'}",0.95609367,397.5,578.5,False,False,00,08,/159-8,06,578.5,0.12287414965986394
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-8~0000000008.jpg,early_planting,B73,no_treatment,289,0.9187979033278766,[[363.31348 546.71906 380.77097 572.69025]],"{'size': [672, 1008], 'counts': b'[]_77gd07I4M2O1N2O000001O1O1O2N1N3M4Jcbk<'}",0.9098455,371.5,112.0,False,False,00,08,/159-8,06,112.0,0.023809523809523808
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-8~0600000008.jpg,early_planting,B73,no_treatment,598,0.6033903885278533,[[460.15244 552.24725 480.55957 600.72125]],"{'size': [672, 1008], 'counts': b'ig_9e0oc0^OR\\OO0l0hc0;N2O1OO1O2N101N2N2N2N2M3N3M3J7Ilmi:'}",0.91237503,470.5,94.5,False,True,06,08,/159-8,06,395.5,0.08397108843537415
