,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1608,0.8341720708839994,[[513.509   266.76822 550.172   328.25436]],"{'size': [672, 1008], 'counts': b'Wca:h0Sd07L4L3M2N3M3N1O2N1O1O1O1O10O01O10O10O10O10O10O1O101N1O2N2N3L3L6I7J7GXn\\9'}",0.993238,531.0,374.5,False,False,00,08,/154-1,09,374.5,0.0556547619047619
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1364,0.8173725274999382,[[215.3205  409.66617 251.05013 466.6152 ]],"{'size': [672, 1008], 'counts': b'\\j^48ad0?D9I5L4L3N2N2N101N1000O1O001O001O1O001O1O1O1O1N2O001N2O2M2N3M3M5J[[`?'}",0.99082,233.5,233.0,False,False,00,08,/154-1,09,233.0,0.03467261904761905
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1357,0.7911729680611533,[[489.05157 269.9845  520.8881  328.9293 ]],"{'size': [672, 1008], 'counts': b'UkQ:?]d09H7I6K4L4M2M3N2M2O2O000000010O01O1O1O1N2O2N3M2M4L2N4L3L4L9EeYo9'}",0.9896235,505.0,372.0,False,False,00,08,/154-1,09,372.0,0.055357142857142855
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,2009,0.6773809663871856,[[453.45218 457.74722 491.29092 539.95404]],"{'size': [672, 1008], 'counts': b'WS[9<ad04L4L4J5K6I7H8L3M3N3N2K4M3N2N2O1O1O1O100O100001O1O1O2M2O2L4L5K5J9G<Bh^c:'}",0.98768926,472.0,172.0,False,False,00,08,/154-1,09,172.0,0.025595238095238095
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1446,0.8391354670948822,[[416.87924 295.81796 452.66287 352.25366]],"{'size': [672, 1008], 'counts': b'Zdb87`d0c0A8I5L3M4M2O1O1O100O1000000O10O10000O101N1O1O2O0O2N2N2M3N3L5J6K5GZb\\;'}",0.98618954,434.5,347.0,False,False,00,08,/154-1,09,347.0,0.05163690476190476
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1639,0.8201729939628791,[[433.2788  468.88416 470.47095 531.9184 ]],"{'size': [672, 1008], 'counts': b'aYm8348Wd0a0H3L3M4L3N2M3N1N3N1O1O1N200O1O1O10000000000001N2O1M4L2O3M1N3M4M2L5D>GkbP;'}",0.9851623,451.5,170.5,False,False,00,08,/154-1,09,170.5,0.025297619047619048
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1172,0.8191969991121699,[[488.38696  74.61946 520.4011  125.41161]],"{'size': [672, 1008], 'counts': b'TPQ:b0Yd07K4M3O1N100O2N100O2M2O1O1N2O1O1O100O0100O100O2O0O3M2M6I8HZjP:'}",0.98479384,503.5,572.0,False,False,00,08,/154-1,09,572.0,0.08511904761904762
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1368,0.8627948892103017,[[518.8906    77.295715 557.5076   125.47272 ]],"{'size': [672, 1008], 'counts': b'Wfd:;ad0:H3M4M1N3N1N2O2N1O1O1O1O100O100O10000O10O10O10000O01O1O1O1O1O2M2O2L6Kd0XOQaX9'}",0.9841208,537.0,571.0,False,False,00,08,/154-1,09,571.0,0.0849702380952381
8,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1313,0.8362181080418548,[[218.578   153.96167 252.63794 210.8427 ]],"{'size': [672, 1008], 'counts': b'`l_4<`d08J4K5L3M4L3M3N3M3N1N2O10O010O1O1O1O001O001O1O2M2O1N3M2O1N3M5K5J\\n_?'}",0.98074603,235.0,490.0,False,False,00,08,/154-1,09,490.0,0.07291666666666667
9,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-1~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1892,0.7916835054774192,[[241.55695 407.4261  278.5428  479.41364]],"{'size': [672, 1008], 'counts': b'bWo4h0Sd09K3L4L5K5K3N2M3N2N101N1O2N100O100001O1O1O1O1O1N3N2N2N3L3N3M2M3M5K5K9Focn>'}",0.97906494,259.5,228.0,False,False,00,08,/154-1,09,228.0,0.033928571428571426
