,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1854,0.8613042290953221,[[384.25946 184.3704  427.6831  242.90755]],"{'size': [672, 1008], 'counts': b'ckl7>^d08H8J5K4L3M4M1O2N1O1O100O1O100O10000O100000O01000O100O1O1O2N1O1N3M2N3M3L5L5J5K7Ikgm;'}",0.9936313,405.0,459.0,False,False,00,08,154-10,08,459.0,0.07589285714285714
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,2698,0.6847846929683453,[[455.90628   60.201233 505.65262  144.67464 ]],"{'size': [672, 1008], 'counts': b'aP\\9c0Zd0:E7K3L4M2N2N2O1N2N2N2O1N2O1O1O1O100O1O100O10000O10O010O0001K4O1N20O101N2O0O3M2N3M4XNT]OW1^c0K5L4L3L6GWPZ:'}",0.9903577,480.5,570.0,False,False,00,08,154-10,08,570.0,0.09424603174603174
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1832,0.8571789520117437,[[326.17908    8.491865 368.7515    66.31373 ]],"{'size': [672, 1008], 'counts': b'Pdf6:bd0:G4M3M4M2M4M3M4L4M2M2O0O100O10000O100O100000O010O10000O2O0O2N1N3N1N3M2N3L4L4K5MaoS='}",0.98703164,347.0,635.0,False,False,00,08,154-10,08,635.0,0.10499338624338625
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1498,0.8341323491300537,[[401.26584 350.28033 435.3628  411.9106 ]],"{'size': [672, 1008], 'counts': b'fUX8f0Xd05L2M4L3N2M4M2N2M200O2N2O0O2N1O100O100000O100O2N1O2N2M3N3M4J9J:CXeg;'}",0.97763467,418.0,290.0,False,False,00,08,154-10,08,290.0,0.04794973544973545
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1698,0.7888320285889197,[[378.87518 345.69305 417.34415 407.4787 ]],"{'size': [672, 1008], 'counts': b'fgi7;ad08H7H:I5K3N3L201N1O2N100O10001O0O10001N100O11N3N0O00001O3M6J4K3N3L5L5FfTT<'}",0.9738608,397.5,295.5,False,False,00,08,154-10,08,295.5,0.04877645502645503
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,923,0.7707997837334087,[[306.72983   24.580479 335.1839    71.38596 ]],"{'size': [672, 1008], 'counts': b'\\`Y6a0\\d07J4M2M3N1N2N3M2N2O100000000100O5J4M1O2N2N1N3N2N2M2O4J]ci='}",0.9730164,320.5,624.0,False,False,00,08,154-10,08,624.0,0.10317460317460317
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1581,0.6156551697673133,[[355.11777 165.0799  386.97665 239.88495]],"{'size': [672, 1008], 'counts': b'XUY75ed0e0^O7J7I6K4L2N2N1N3K4K5M3O1O1O0100000002N2QNZ]O`1Uc0M2O1N2M3L5I7H:G9Fmog<'}",0.95834506,370.0,470.0,False,False,00,08,154-10,08,470.0,0.07771164021164022
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,2529,0.848440206858899,[[315.13513 171.12479 360.12344 242.51553]],"{'size': [672, 1008], 'counts': b'Pb_6e0Vd0?C7J5L3L3N3M2N2O1N2N3N1N100O1000000000000001O001O0O101O1O000O2O1N2N1O3L3M4K5K5K6K5J7FPRY='}",0.9932695,337.5,465.5,False,False,01,08,154-10,08,665.0,0.1099537037037037
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,2038,0.8585699242630341,[[406.87732   55.548485 450.50894  117.05856 ]],"{'size': [672, 1008], 'counts': b'Wj[8>_d09G8I6J6K3M3M3N1N2O1O001N2O00010O00001O01O001O001N10001O1O001N2O1N1O2M3N3M2L6K5J=^ObS^;'}",0.99126714,428.5,586.0,False,False,01,08,154-10,08,906.0,0.1498015873015873
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,3266,0.7749949184520902,[[458.68988 212.76851 507.5159  299.22232]],"{'size': [672, 1008], 'counts': b'd^]9i0Sd09G8I6K4L4L4L5L3M3M2O0O2N2N1O2O0O2N10000O10000O10000O10000001O0000000O2O001N1N3G9J7H9K4TOm0FSlY:'}",0.98816466,481.5,416.5,False,False,01,08,154-10,08,567.0,0.09375
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,1794,0.6483708902459665,[[361.71722   51.665207 392.82217  132.08759 ]],"{'size': [672, 1008], 'counts': b'^d]76cd0`0C8I8I3N6I8I6J4L3M4L3M2O1O00000001O1O0O3N1N2N3M3M3L5L5Ji0gNT\\ONohd<'}",0.9780026,376.5,580.5,False,False,01,08,154-10,08,895.0,0.14798280423280424
8,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/154-10~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,1936,0.842983762088789,[[380.07947 247.0613  420.1497  314.3452 ]],"{'size': [672, 1008], 'counts': b'Zdi7?^d0<D7J4M3M3N1O1N3N1O1O1N2O0O2N2O0O2O1O000010O00001O1O1N101O1O1N2O2N1N3M2M5J9ROVYR<'}",0.9702166,399.0,390.5,False,False,01,08,154-10,08,515.0,0.0851521164021164
