,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0000000008.jpg,late_planting,gt1-P_test,no_treatment,1930,0.7486957746499552,[[271.77246 271.59213 306.14752 344.58496]],"{'size': [672, 1008], 'counts': b']ib5e0Wd09G7K6I6J6J5K4N2N1O1O10000O1000000001O1O001O1O2N1O1O1N2N3M5J=C;D`0\\OT\\\\>'}",0.9850358,288.5,363.5,False,False,00,08,_test1,07,363.5,0.06752232142857142
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0100000008.jpg,late_planting,gt1-P_test,no_treatment,352,0.7942472354084988,[[302.07056 392.0033  318.6714  425.40292]],"{'size': [672, 1008], 'counts': b'jWW6=_d06K3N2O1O1O1O100O1001O1M4J7Gc]T>'}",0.96131545,310.0,262.0,False,True,01,08,_test1,07,258.0,0.04799107142857143
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0100000008.jpg,late_planting,gt1-P_test,no_treatment,388,0.8454492388911099,[[184.83292 127.15829 204.20079 157.23466]],"{'size': [672, 1008], 'counts': b'WVj39dd06L2N3M3N2M2O1O10O001O1O1O2M4M5J4Jb__`0'}",0.9611876,194.5,530.0,False,False,01,08,_test1,07,794.0,0.14769345238095238
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0100000008.jpg,late_planting,gt1-P_test,no_treatment,282,0.9064106910018425,[[224.26082 454.8743  241.90369 477.86838]],"{'size': [672, 1008], 'counts': b'a^c43id09I4M2N2N100O1001O001N2O2M2O2M4L5J\\Wf?'}",0.958693,232.5,206.5,False,True,01,08,_test1,07,147.0,0.02734375
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0200000008.jpg,late_planting,gt1-P_test,no_treatment,256,0.9744990427090556,[[184.40527 586.1363  200.9875  608.84076]],"{'size': [672, 1008], 'counts': b'`oi3:dd04M2N2O1N2O0001O000O2O1N3M3M_ea`0'}",0.9540751,192.0,75.0,False,True,02,08,_test1,07,-41.0,-0.007626488095238095
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0200000008.jpg,late_planting,gt1-P_test,no_treatment,187,1.0285230736909472,[[153.18626 619.1162  168.4907  636.7749 ]],"{'size': [672, 1008], 'counts': b'aeU38gd02N2N1O2O0O10000000O2O1N2McdVa0'}",0.94272614,160.5,44.5,False,True,02,08,_test1,07,-132.5,-0.024553571428571428
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0200000008.jpg,late_planting,gt1-P_test,no_treatment,120,0.8983534868245348,[[209.7748  349.4636  221.22533 365.6472 ]],"{'size': [672, 1008], 'counts': b'QUZ42ld09I1N2O00000101M3N2LmST`0'}",0.90809417,215.0,315.0,False,False,02,08,_test1,07,679.0,0.12630208333333334
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test1~0700000008.jpg,late_planting,gt1-P_test,no_treatment,748,0.8067474146629281,[[406.84094 647.80206 448.07614 672.     ]],"{'size': [672, 1008], 'counts': b'k\\\\85id02N2N2N2O1O1O1N200O1O1O1O100O10000O10000000000000000001O001O001O001O1O2N1N6G_`_;'}",0.8998537,427.0,12.5,True,True,07,08,_test1,07,-166.0,-0.030877976190476192
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,701,0.5712131975441502,[[293.971      0.       313.8156    52.671227]],"{'size': [672, 1008], 'counts': b'VoP68ad0;H5L4G8G9K5O101O0001N6K4L4K4L4L3M5J9ER]W>'}",0.98841804,303.5,645.5,False,False,00,08,_test2,08,645.5,0.10664682539682539
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,2017,0.605426355382024,[[241.628    40.61632 278.4003  129.63065]],"{'size': [672, 1008], 'counts': b'Pln4e0Ud0=E:G8H8I5L4L4N1O002O0O01O1O0O2O1N2N1O2N2N2N2N2N1O1O2N2M3N3L6J9G6I5K7Fhnn>'}",0.98772323,259.5,586.0,False,False,00,08,_test2,08,586.0,0.09689153439153439
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,1398,0.5509435872496289,[[275.6083  410.30762 303.811   494.185  ]],"{'size': [672, 1008], 'counts': b'\\be5;hc0S1E:E<I4M1O10O2O2M2N2N2N2N3M2N2N3M2M3N2M4L4L4L5K5L4K;AUa]>'}",0.9869327,289.5,216.0,False,False,00,08,_test2,08,216.0,0.03571428571428571
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,1597,0.7616213965583057,[[257.9788    0.      293.94257  58.82981]],"{'size': [672, 1008], 'counts': b'RZY58gd07J;E7H7J5K3M2N2N2N1O1O1O1O01O01O000001O001O1O2N1O2N2M4M2N3L4L4L6I7HPVe>'}",0.98301053,275.0,643.0,True,False,00,08,_test2,08,643.0,0.10631613756613757
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,2182,0.5611365411956349,[[286.53827 346.22104 322.78738 451.32782]],"{'size': [672, 1008], 'counts': b'gfl5W1dc09I8I6J6K5K4M2M4M2N3N0O1O11N2N7I4L3M3M1O3M2N2N4L3M3M3M3M4K4M4L4K5J6JehQ>'}",0.9775295,304.0,267.0,False,False,00,08,_test2,08,267.0,0.0441468253968254
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,1546,0.5782440631949348,[[183.73296 242.0496  215.84264 319.4585 ]],"{'size': [672, 1008], 'counts': b'fPi3c0[d08G8J4K4L3M3L4J5J7K4N102N1100O100O3M4L4L5K5K6J5K4K3M4M3K4M4K5Jg^W`0'}",0.97479224,199.5,391.0,False,False,00,08,_test2,08,391.0,0.0646494708994709
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0000000008.jpg,late_planting,gt1-P_test,no_treatment,3191,0.4728963729522459,[[192.7082  183.10123 229.71356 312.9931 ]],"{'size': [672, 1008], 'counts': b'nVP42fd0d0@:XOe0H5S]O]N20ca0j1X^O[N0Mba0o2M4M3N1N2O1N2O1N2O100O1N2O0100O2M4K6J;G7I4N3L3J7J6K5J8YOUPo?'}",0.89057386,211.5,422.0,False,False,00,08,_test2,08,422.0,0.06977513227513228
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0100000008.jpg,late_planting,gt1-P_test,no_treatment,2292,0.5698868799915057,[[179.01443 295.53864 216.11862 391.8084 ]],"{'size': [672, 1008], 'counts': b'd_f3?\\d08G7H7J6J7K4L4M3M3N2M3N2O1N2N2O1O0O2O1O1O1O1O1N2O1N2O1O01O1J=Dc0]O;Bc0UOnRX`0'}",0.993803,197.0,326.5,False,False,01,08,_test2,08,387.0,0.06398809523809523
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1-P_test/gt1_p_test2~0100000008.jpg,late_planting,gt1-P_test,no_treatment,1212,0.8212243290962516,[[235.36328  67.2549  263.37482 122.15394]],"{'size': [672, 1008], 'counts': b'`nj4o0mc07J5M2N2N3N001O0001O001O0000001O00001O1O1O1N2N3K5L6I]jX?'}",0.9900395,249.0,577.0,False,False,01,08,_test2,08,888.0,0.14682539682539683
