,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-2~0000000008.jpg,late_planting,B73,no_treatment,1197,0.7048603944591462,[[392.148   429.11777 422.9992  485.01755]],"{'size': [672, 1008], 'counts': b'[fQ88Yd0e0C9J7J5N1O2N001O000001O1O2O1N2N2N2N2N2N2N2M3N2N2N3M2M6J5J\\SP<'}",0.939693,406.5,215.0,False,False,00,08,/402-2,07,215.0,0.03999255952380952
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-2~0200000008.jpg,late_planting,B73,no_treatment,369,0.8272178553853184,[[468.12012 460.24768 485.34402 490.5843 ]],"{'size': [672, 1008], 'counts': b'kWd98dd08I5L2N3M200O1001O001O1N3M4L5KXhf:'}",0.92579204,476.5,197.0,False,True,02,08,/402-2,07,325.0,0.06045386904761905
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-2~0400000008.jpg,late_planting,B73,no_treatment,1108,0.8738887387471084,[[508.3583  538.025   548.90576 579.05707]],"{'size': [672, 1008], 'counts': b'ab^::dd03N2M3M2H9L4N2N2O0O1000000O1001O000O100O2O0O2O001N2O001N2O1N2N2O1N2O1N3N1N3MdZ]9'}",0.90344363,528.0,114.0,False,True,04,08,/402-2,07,304.0,0.05654761904761905
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-2~0500000008.jpg,late_planting,B73,no_treatment,372,0.8285640423935379,[[481.5374  435.47467 500.42615 466.87152]],"{'size': [672, 1008], 'counts': b'Vhl9:dd03M3M2O1M3O1N20O01O100O01O1O2M3M6IWn\\:'}",0.9053963,490.5,220.5,False,True,05,08,/402-2,07,1057.0,0.19661458333333334
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-2~0700000008.jpg,late_planting,B73,no_treatment,369,0.7818388618260571,[[342.81805 371.59344 368.05444 401.4425 ]],"{'size': [672, 1008], 'counts': b'YTR75id04M1N2O2M2O1O1N2O1O01O010O1O001O001O1O0O2O2K\\YT='}",0.88703954,355.0,284.5,False,False,07,08,/402-2,07,2010.0,0.37388392857142855
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-6~0200000008.jpg,late_planting,B73,no_treatment,1022,0.7217201634387085,[[371.22867 173.97005 401.45627 223.36243]],"{'size': [672, 1008], 'counts': b'kYd77gd03IHb[O:]d07f[OIfc0k0M2N2O001O0100O3M0001O0O1O1O10O002N2N1N4M2N4L6I9EPU^<'}",0.9259962,386.0,474.5,False,False,02,08,/402-6,04,1157.5,0.3443452380952381
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-6~0200000008.jpg,late_planting,B73,no_treatment,237,0.956545298201346,[[360.5087  298.11566 376.15527 318.3059 ]],"{'size': [672, 1008], 'counts': b'eV]76fd06M1N3N1O100O1000000001N2N4Kb^n<'}",0.89641386,368.0,364.0,False,False,02,08,/402-6,04,826.0,0.24583333333333332
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-6~0200000008.jpg,late_planting,B73,no_treatment,203,0.8442003746750522,[[456.85873 604.73535 468.99628 628.3008 ]],"{'size': [672, 1008], 'counts': b'W`\\98dd07K3N2N100O100001M3LSiQ;'}",0.8810856,462.0,55.5,False,True,02,08,/402-6,04,-99.5,-0.029464285714285714
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-6~0300000008.jpg,late_planting,B73,no_treatment,422,0.7740715503141736,[[379.74918 588.37463 399.43375 624.7015 ]],"{'size': [672, 1008], 'counts': b'Qdj7;`d07L3M2O2M2N2N2O1O0100N3N2N3L5K5K5JWR_<'}",0.92893356,389.5,65.0,False,True,03,08,/402-6,04,-6.0,-0.0017857142857142857
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/B73/no_treatment/402-6~0400000008.jpg,late_planting,B73,no_treatment,1208,0.711337808276231,[[458.03152 217.91165 486.79074 277.66193]],"{'size': [672, 1008], 'counts': b'Si\\9`0^d0>B<D7J4M1O000010O1O1O1O1O100O2N101N1O1O2N2N2N4K4M5J7HPZf:'}",0.9517776,471.5,424.0,False,False,04,08,/402-6,04,1854.0,0.5517857142857143
