,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,2174,0.7018281813610405,[[220.80193 387.21533 261.39734 467.0981 ]],"{'size': [672, 1008], 'counts': b'g^a4`0Xd0>F7J4M3N1O1N3N1O1O1N2O1O1N2N2O1N2N2O1N2N2N2N2O1O10O10000O2O1M5L9F4L4K5I7B?A]_Z?'}",0.994197,240.0,243.5,False,False,00,08,/405-1,09,243.5,0.03616071428571429
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,6057,0.7899477695407152,[[118.598854 189.6547   184.88356  309.4123  ]],"{'size': [672, 1008], 'counts': b'PP_2k0Rc0X1G7J4M5K4L4M2N100N3N1O2O0O2M3O1N3N001N101N100O10000000000000000001O001O1O001O2N1O1O1O2N1O001O1O1O1O3L2O2M3M5K4K5K7H7I6H7F<B<E``l`0'}",0.9917641,151.5,420.5,False,False,00,08,/405-1,09,420.5,0.0625
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,3432,0.7874716311163732,[[112.297455  17.284071 163.96277  109.03792 ]],"{'size': [672, 1008], 'counts': b'UkZ2n0oc08H8I5L4L4L4L4L3N2M3N1O2N1O1O2N1O001O1O00000010O000000001O1O1O001O1O1O1N3N1O4L3M5J5L4K5K5K3M2N7H>_ObiYa0'}",0.9909333,138.5,606.5,False,False,00,08,/405-1,09,606.5,0.09017857142857143
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,1784,0.8407195683403749,[[360.53006  70.58785 400.1888  136.29688]],"{'size': [672, 1008], 'counts': b'YP]7e0Ud0:I5L4L3M2N2O2N1O1O1O1O1O100O100O1O10000O010O10O1O2N1N3N2M3M3N2M3M4L4L4I8GZb_<'}",0.98949206,379.5,566.5,False,False,00,08,/405-1,09,566.5,0.08422619047619048
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,2537,0.9041148281945832,[[150.90942   45.064037 201.25308  111.75799 ]],"{'size': [672, 1008], 'counts': b'RjS3k0Rd08I5L2N2N2N2M2O2N1N3N2O1O1N2O0O10000O100000000001O0000001O00001O0O101N2N1O2N2N2M4L3N2M4K5L4K7GPVb`0'}",0.9892964,175.5,593.5,False,False,00,08,/405-1,09,593.5,0.08824404761904762
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,2425,0.794202847652403,[[318.58087 198.2049  360.76877 273.93362]],"{'size': [672, 1008], 'counts': b']ba6i0Pd08K6J6K4M3M5K3N1O1N2O1O2M2O1O1O100O10000000O10000000001O001M4M3M4L6J4L3N4J5L4K9EgPY='}",0.98333824,339.0,435.0,False,False,00,08,/405-1,09,435.0,0.06473214285714286
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,2679,0.8142262188641312,[[242.56291 231.82103 300.19693 305.5037 ]],"{'size': [672, 1008], 'counts': b'ago4e0Td0;J3M3N2M3N101M2O1O2N1O1N2O1O1O1O001O1O1O10O01O100O100O1O0100O010O1O1N2O1N2N2N2N2N2N2O0O2O2N1N3M3M3L5I8J6K[[b>'}",0.98226637,269.5,403.0,False,False,00,08,/405-1,09,403.0,0.0599702380952381
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,1924,0.766187943002222,[[217.8613  230.70071 258.12674 304.0644 ]],"{'size': [672, 1008], 'counts': b'Vo_4g0Ud0<E6J5L3M4L3N1N3M2N2O1N2O1O1000O1000000O2O001O0O2N1O2M3M4M2L5Mc0\\O3N:Dca^?'}",0.96774566,236.0,404.0,False,False,00,08,/405-1,09,404.0,0.06011904761904762
8,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0000000008.jpg,late_planting,gt1ra3B73,defoliated,1274,0.6617593809174002,[[380.58032  92.24474 420.31473 148.08151]],"{'size': [672, 1008], 'counts': b'XUj72kd07K1O2H7J7K5K4O101N0L40011O1O1O01OO001O1O1O000001N2O0O2N2N2M3M3M2N3M3K5L5M4JSiQ<'}",0.90861285,400.0,552.5,False,False,00,08,/405-1,09,552.5,0.08214285714285714
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0100000008.jpg,late_planting,gt1ra3B73,defoliated,3452,0.793705629429828,[[112.115425 461.8196   162.57318  552.55035 ]],"{'size': [672, 1008], 'counts': b'QdZ2j0Qd0<F8I7J4K4M5L2M3M3N2N1O1O2N1O1O1O1O1O00001O001O01O00001O001O00001O1O1O2N2N1O3L4L4L4L4L4L5K5J8GW[[a0'}",0.9931699,136.5,164.0,False,True,01,08,/405-1,09,62.0,0.009226190476190476
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/defoliated/405-1~0100000008.jpg,late_planting,gt1ra3B73,defoliated,2503,0.8906493853659712,[[148.60942 488.0853  198.53146 559.69446]],"{'size': [672, 1008], 'counts': b'XnR3c0Yd09H5M3L4M3M2M3N2N2N2N2N2O0O1O1O1O100O1O1O1O1O100001O00001O0O101O0O2O1N2N2N2N3L3M3N3L3M4L4L4K6IPRc`0'}",0.9912709,173.5,147.0,False,True,01,08,/405-1,09,28.0,0.004166666666666667
