,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,2775,0.8715794119108136,[[504.00076 243.26247 566.3153  305.3878 ]],"{'size': [672, 1008], 'counts': b'de[:a0Zd07K5L3L5M3M2O0O101N1O1O101N100O1O1O100O1N2O1O1O1O1O100O010000O10000O100O1000001N10001O001N101N101L4N1N3L4L4M4K4M5IQiS9'}",0.9966539,533.5,398.0,False,False,00,08,/447-5,07,398.0,0.0740327380952381
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,3113,0.8968262871479205,[[270.27542   75.479034 325.11438  148.49294 ]],"{'size': [672, 1008], 'counts': b'Wna5<2NRd0c0M3L7K4K4L4M2N2N2N1O1O2N1O2O1N2O0O100O1000000000000000000000000001O0O101O00001N101O1N2N2N2N3M4K4L5K5L5I9EhSP>'}",0.9946154,297.5,560.0,False,False,00,08,/447-5,07,560.0,0.10416666666666667
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,2637,0.8254015881734816,[[419.01242  97.72759 468.31244 169.9214 ]],"{'size': [672, 1008], 'counts': b'nRc8e0Xd05M1O1N2H9M2N3N3N1N2O4K2O1N9H1O000O10000O100000000001O00001O0O2O001O001N2N2O1N2N2N3L3M4L3L6I7I:ETXR;'}",0.99408734,443.0,537.0,False,False,00,08,/447-5,07,537.0,0.09988839285714286
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,2182,0.8675415477346647,[[478.66995 233.07654 526.7166  297.29633]],"{'size': [672, 1008], 'counts': b'ccj91fd0>H6J5L4L4L4L3M3M3N1N3N1N3N1O1O100O10O010000O1000O10000O100O1O100O2N1O1O1O2O0O3M2N3M3M3J9EZgl9'}",0.99324185,501.5,406.0,False,False,00,08,/447-5,07,406.0,0.07552083333333333
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,2367,0.8685843498831202,[[407.73077 116.62435 452.4945  182.507  ]],"{'size': [672, 1008], 'counts': b'dl[8:]d0=F=G6J5K4M3M2N2N1O100O100O100O100O1000000001O00001O001O00001O2N1O1O1N2O1N3L3N3L4M5K2Meg\\;'}",0.98932415,429.5,522.5,False,False,00,08,/447-5,07,522.5,0.09709821428571429
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0000000008.jpg,late_planting,gt1ra3tb1,no_treatment,2244,0.8488217566163558,[[256.24173 113.76709 306.84183 179.22403]],"{'size': [672, 1008], 'counts': b'YiX59cd08H6K6K3M4N2M3M2N3N2M2N2O2N1O1O1O1O1O1O010O001O0001O001O001O0O2O1O002M3N1N3N2M1O2O0O5K3M5J5J4J6L_a\\>'}",0.98571044,281.0,524.5,False,False,00,08,/447-5,07,524.5,0.0974702380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,3009,0.8775219017247848,[[563.2136  297.80295 626.08167 365.01483]],"{'size': [672, 1008], 'counts': b'd^b;=^d08J4L4L4N2M3N1O2N1N3N1O1N2O1N2O1N2O2N1O100O1O100O100O100O10O100000O10O10000O1O100O1O2N100O2M2O2N101N1N3N2N1O2N2M3L5K6I:EVQk7'}",0.99410665,594.0,341.0,False,False,01,08,/447-5,07,416.0,0.07738095238095238
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2390,0.8411989505299791,[[571.4504    27.410934 617.7566    96.50612 ]],"{'size': [672, 1008], 'counts': b'l]g;`0Zd0;H8I7I3M3O1M3N1N3N1N2O1O100O1O1O100O100O1000000O1001O000O101N2N1O2M2N3M3M3M2N3L4K6K4K>@caP8'}",0.99327034,594.0,610.0,False,False,01,08,/447-5,07,954.0,0.17745535714285715
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,3126,0.8622891382770924,[[408.46933 525.324   464.90118 597.4236 ]],"{'size': [672, 1008], 'counts': b'dn\\8a0\\d04C\\OY\\Og0ac0?N2O2N1O3M2O1N101N101N2O2M4M1N100O2O0O100O100O1000000000000001O00001O00001O001O1N2O1N2O1N2N2N3M2M5K5I8E=BjiS;'}",0.99277836,436.5,110.0,False,True,01,08,/447-5,07,-46.0,-0.00855654761904762
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2965,0.8707865295273576,[[268.3481  510.25165 322.8609  583.4774 ]],"{'size': [672, 1008], 'counts': b'nQa5d0Wd05M3M4L3N3M5L6I4M2N3M2O1N2N3M2O000O100O100000000000O1000001O001O00001O001O1N101O1N2N3M3L3N3M3M3M3M4K5L6HReQ>'}",0.9921347,295.0,124.5,False,True,01,08,/447-5,07,-17.0,-0.003162202380952381
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2757,0.8680305844997019,[[485.91153 240.00648 534.0216  312.86566]],"{'size': [672, 1008], 'counts': b'YVo9c0Yd08J5J7J4L5L3M2N3M3L3O1N2O1N2O0000000O1000000000001O0001O1O001O0O101O001N1N3N2N2O2L3N2N2M5I9G;Eeif9'}",0.99188966,509.5,394.5,False,False,01,08,/447-5,07,523.0,0.09728422619047619
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2611,0.8840372916871052,[[177.50311 402.21878 239.65918 463.81882]],"{'size': [672, 1008], 'counts': b'Qle3>^d06L3M3N2N2N3N1N3N1O2M3N1N2O1O1O1O1O1N2O1O1O10O01O001O01O0001O01O001O00010O001O1O1O1O1O1O1N2O2M2O2M2N2N3N1N2N2N3M2M3N3LaWh?'}",0.9916351,208.5,240.5,False,True,01,08,/447-5,07,215.0,0.03999255952380952
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2415,0.8705399220286579,[[509.74088 249.4627  557.66046 317.36127]],"{'size': [672, 1008], 'counts': b'cn^:R1jc06M2M3N1O2N1O101N1N3N1O1O1M21001O0000001O00000O100000000001O001N2O0O2N2N2N2M3N3L3L4M4J7I9Eb[X9'}",0.99110293,532.5,387.0,False,False,01,08,/447-5,07,508.0,0.09449404761904762
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2918,0.8729417131167191,[[246.48077 120.45848 300.83524 193.55963]],"{'size': [672, 1008], 'counts': b'blR5;bd0b0^O5M5J4M3M2N2N102L4N0O2N2O2M2O000O1O10000O1000000O11O000000001O0O2O001N101O1N2O001O1O1N3N1N3N2L4L5K`Ta>'}",0.98855317,273.0,514.0,False,False,01,08,/447-5,07,762.0,0.14174107142857142
8,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,3247,0.8944745796333283,[[215.73116 351.97324 275.87946 430.11197]],"{'size': [672, 1008], 'counts': b'P^_4=`d08G9I4L4M3L3N3M2O2M2N2N2N2O1N101O0O1O2O000O2O00001N101O000000001O01O0000001N10001N2O0O2O1O1N2N2N2O1N3L3M4L4L5J8G=_Onoo>'}",0.9884498,246.5,278.0,False,False,01,08,/447-5,07,290.0,0.053943452380952384
9,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2576,0.8791968406426002,[[403.83838 554.9737  450.27588 621.8747 ]],"{'size': [672, 1008], 'counts': b'meY8S1jc05M3L3M3N2M3M3N2N2O0O2O001N10000O100000000000000001O001O001O1O001O001N3N1N2M4L4M2M4L4K3H9KUd];'}",0.9882079,426.5,84.5,False,True,01,08,/447-5,07,-97.0,-0.01804315476190476
10,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2634,0.8665726024579582,[[357.3979    46.181767 410.44592  116.28626 ]],"{'size': [672, 1008], 'counts': b'aP[7e0Wd07J5K6K3M4L2N3N1N3N1O1O1O100O2N100O100O1O10000O100O010000O100O1O1O1O1N2O2N1N2O2M2N3N2M3M3N3L4K5L5HUfY<'}",0.98753905,382.5,590.0,False,False,01,08,/447-5,07,914.0,0.17001488095238096
11,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,2098,0.8934316424630772,[[253.6953  554.2546  302.93265 613.48444]],"{'size': [672, 1008], 'counts': b'PXW57ed08J5J6L3K5M2N3L3O1N2O1N2O2N001O1O1O1O001O001O000001O00001O00001O1O1O001N2O2M2O2M2O2M2N2N3L6J8Ekg^>'}",0.9865357,277.5,87.5,False,True,01,08,/447-5,07,-91.0,-0.016927083333333332
12,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,3132,0.8775150511878105,[[306.8223    30.690931 362.78098  103.51394 ]],"{'size': [672, 1008], 'counts': b'c`Y66ed0b0A9G6K6J3M4L3M3M2O2M2O2N0O2O1O00000O10000000000000000001O0000001O0000001O001N101O1N1O2N2M3M4M2L5K5J6K6J6I[aX='}",0.9862773,333.5,604.5,False,False,01,08,/447-5,07,943.0,0.1754092261904762
13,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3tb1/447-5~0100000008.jpg,late_planting,gt1ra3tb1,no_treatment,1315,0.875349151113071,[[273.8135  276.04105 309.74084 327.68182]],"{'size': [672, 1008], 'counts': b'Uhd5`0\\d07K4K5M3L4N1N2N2O1N2O1O000O1001O000000001N101O1N3M3N2M3N2M3M3M3L4Lg]Z>'}",0.9851483,291.5,371.0,False,False,01,08,/447-5,07,476.0,0.08854166666666667
