,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,143,0.962305536492337,[[322.96106  47.5309  336.35944  63.58321]],"{'size': [672, 1008], 'counts': b'hPd62ld04M2N3M1O1O100O1001N1O3L_nh='}",0.91645205,329.0,617.0,False,False,02,08,/441-3,03,1585.0,0.5896577380952381
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,1745,0.8130638675125633,[[413.85416 413.00418 449.76877 482.03644]],"{'size': [672, 1008], 'counts': b'oh`8c0Xd0:H5L3N1N3N3L2O2N2N2N1O1O2N1O1O1O1O100O10000O1000O101N2M3M3N2L5L5Ih]^;'}",0.91531783,431.5,223.0,False,True,02,08,/441-3,03,403.0,0.14992559523809523
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-3~0300000008.jpg,late_planting,tb1ra3,no_treatment,194,0.8802124162360982,[[319.83707 485.34537 334.4513  505.8627 ]],"{'size': [672, 1008], 'counts': b'b_b62kd05L4M3M1O1O100O1O0100N2N3Mjji='}",0.9569732,326.5,176.0,False,True,03,08,/441-3,03,438.0,0.16294642857142858
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-3~0300000008.jpg,late_planting,tb1ra3,no_treatment,217,0.8577206756676337,[[411.59454 405.29807 425.41293 428.61023]],"{'size': [672, 1008], 'counts': b'ih^89ed07K2N1O1O1O0001O1O2N5J6JlUn;'}",0.90146667,418.0,255.0,False,True,03,08,/441-3,03,754.0,0.2805059523809524
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0000000008.jpg,late_planting,tb1ra3,no_treatment,504,0.8019171118209653,[[298.15558 336.11316 319.4315  372.10834]],"{'size': [672, 1008], 'counts': b'SbT6<Ud0b0L2O1O01O0000001O1O002N1O2N2M2N2J7KR_T>'}",0.9495237,308.0,317.0,False,False,00,08,/441-4,04,317.0,0.0943452380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0100000008.jpg,late_planting,tb1ra3,no_treatment,292,0.755346198509759,[[292.55338 573.7772  308.9125  604.65686]],"{'size': [672, 1008], 'counts': b'b`Q67fd04M3L3O1N2N3L3O1O11N1O2M4L7HjTZ>'}",0.9409509,301.0,82.5,False,True,01,08,/441-4,04,-101.0,-0.03005952380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0300000008.jpg,late_planting,tb1ra3,no_treatment,298,0.5408061844631213,[[430.07623 269.1819  443.1994  308.79385]],"{'size': [672, 1008], 'counts': b'QTk8a0Yd08K3N2N2N2O1O11O2^OR\\OD4OX^d;'}",0.9542778,435.5,382.5,False,False,03,08,/441-4,04,1264.0,0.3761904761904762
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0400000008.jpg,late_planting,tb1ra3,no_treatment,99,0.9840354402581556,[[350.541   229.12604 360.43234 244.33197]],"{'size': [672, 1008], 'counts': b'XbV78gd02N3N1O01O1O1N4KfPY='}",0.91154313,355.0,435.5,False,False,04,08,/441-4,04,1911.5,0.56875
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0400000008.jpg,late_planting,tb1ra3,no_treatment,395,0.6202824985150847,[[441.64188 435.732   456.9324  479.14774]],"{'size': [672, 1008], 'counts': b'c`R96`d0>I4K5L3N2N2O1O1000O4I7J<BmiY;'}",0.8904168,448.5,212.5,False,True,04,08,/441-4,04,796.5,0.2369047619047619
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0100000008.jpg,late_planting,tb1ra3,no_treatment,226,0.8331420730587531,[[365.2525  554.3604  378.59396 579.4893 ]],"{'size': [672, 1008], 'counts': b'eg`79`d0:L2N2O0001O1O1O2N2N3K\\ll<'}",0.94322526,371.5,105.0,False,True,01,08,/441-6,06,-56.0,-0.011904761904761904
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0100000008.jpg,late_planting,tb1ra3,no_treatment,2974,0.6971113144106337,[[368.15387   19.376005 410.33936  113.97588 ]],"{'size': [672, 1008], 'counts': b'oVb7j0nc0b0A9I5K4L4M2N3M2M3N2N2N3N1O00101N2N2O1N10010O01N101O000O1O1O1O1N3M3L5J7H;D:ASgY<'}",0.93382233,388.0,606.0,False,False,01,08,/441-6,06,946.0,0.20110544217687074
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0200000008.jpg,late_planting,tb1ra3,no_treatment,2505,0.7401731095194489,[[366.386   427.77203 407.16156 512.06213]],"{'size': [672, 1008], 'counts': b'gcb7j0nc0=E9I5L3M4L3N3M2O2M2O1O1O1O100O2O001N1000000000000000O2M2N3M4L3L5K7I7G9G;DnnY<'}",0.978522,387.5,201.5,False,True,02,08,/441-6,06,338.5,0.07185374149659864
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0300000008.jpg,late_planting,tb1ra3,no_treatment,646,0.7011874804396804,[[352.93195 523.70886 374.64377 575.7675 ]],"{'size': [672, 1008], 'counts': b'akX7>\\d06C=N2O2N1O1O001O1O10O0O3N1N4L4L5K4K6JRao<'}",0.9079065,363.5,118.5,False,True,03,08,/441-6,06,208.0,0.04421768707482993
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0600000008.jpg,late_planting,tb1ra3,no_treatment,328,0.6489086801144585,[[421.10678 469.42264 436.98962 503.34625]],"{'size': [672, 1008], 'counts': b'[]e8:bd06L2N2N2O1N2O1N010O1000O2M6F^Xf;'}",0.9593979,429.0,186.0,False,True,06,08,/441-6,06,1036.0,0.22023809523809523
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,902,0.634108294301764,[[333.88007 554.02454 355.70294 612.00977]],"{'size': [672, 1008], 'counts': b'Y]l6g0Sd08I5L5L3L4M3N2O1O10000001O2N2N5K4K4K8FQo[='}",0.9443412,344.5,89.0,False,True,02,08,/442-3,02,1.0,0.000496031746031746
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,1424,0.592815631623159,[[325.92624 328.86508 355.276   402.97836]],"{'size': [672, 1008], 'counts': b'jnf6=Yd0`0E8K3M3M2N2N2N3M2O1N2M3L4N2N101N20000OO3M2L8I:E8G7F;CZV\\='}",0.9387476,340.5,305.5,False,False,02,08,/442-3,02,650.5,0.32242063492063494
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-6~0100000008.jpg,late_planting,tb1ra3,no_treatment,191,0.9151227519119263,[[435.2763  245.00052 448.8287  265.52997]],"{'size': [672, 1008], 'counts': b'k[n8<cd03M1O1O1O1000O1O2M2O2M5IYc^;'}",0.93285584,442.0,417.0,False,False,01,08,/442-6,03,568.0,0.2113095238095238
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-6~0300000008.jpg,late_planting,tb1ra3,no_treatment,247,0.8512397551498986,[[334.4965  280.12848 349.20285 306.3993 ]],"{'size': [672, 1008], 'counts': b'WTl69ed03M3L3M3O1O10000001N1O2MUk`='}",0.9422807,341.0,378.0,False,False,03,08,/442-6,03,1246.0,0.4635416666666667
