,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,143,0.962305536492337,[[322.96106  47.5309  336.35944  63.58321]],"{'size': [672, 1008], 'counts': b'hPd62ld04M2N3M1O1O100O1001N1O3L_nh='}",0.91645205,329.0,617.0,False,False,02,08,/441-3,03,1585.0,0.5896577380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0000000008.jpg,late_planting,tb1ra3,no_treatment,504,0.8019171118209653,[[298.15558 336.11316 319.4315  372.10834]],"{'size': [672, 1008], 'counts': b'SbT6<Ud0b0L2O1O01O0000001O1O002N1O2N2M2N2J7KR_T>'}",0.9495237,308.0,317.0,False,False,00,08,/441-4,04,317.0,0.0943452380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0300000008.jpg,late_planting,tb1ra3,no_treatment,298,0.5408061844631213,[[430.07623 269.1819  443.1994  308.79385]],"{'size': [672, 1008], 'counts': b'QTk8a0Yd08K3N2N2N2O1O11O2^OR\\OD4OX^d;'}",0.9542778,435.5,382.5,False,False,03,08,/441-4,04,1264.0,0.3761904761904762
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-4~0400000008.jpg,late_planting,tb1ra3,no_treatment,99,0.9840354402581556,[[350.541   229.12604 360.43234 244.33197]],"{'size': [672, 1008], 'counts': b'XbV78gd02N3N1O01O1O1N4KfPY='}",0.91154313,355.0,435.5,False,False,04,08,/441-4,04,1911.5,0.56875
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/441-6~0100000008.jpg,late_planting,tb1ra3,no_treatment,2974,0.6971113144106337,[[368.15387   19.376005 410.33936  113.97588 ]],"{'size': [672, 1008], 'counts': b'oVb7j0nc0b0A9I5K4L4M2N3M2M3N2N2N3N1O00101N2N2O1N10010O01N101O000O1O1O1O1N3M3L5J7H;D:ASgY<'}",0.93382233,388.0,606.0,False,False,01,08,/441-6,06,946.0,0.20110544217687074
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-3~0200000008.jpg,late_planting,tb1ra3,no_treatment,1424,0.592815631623159,[[325.92624 328.86508 355.276   402.97836]],"{'size': [672, 1008], 'counts': b'jnf6=Yd0`0E8K3M3M2N2N2N3M2O1N2M3L4N2N101N20000OO3M2L8I:E8G7F;CZV\\='}",0.9387476,340.5,305.5,False,False,02,08,/442-3,02,650.5,0.32242063492063494
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-6~0100000008.jpg,late_planting,tb1ra3,no_treatment,191,0.9151227519119263,[[435.2763  245.00052 448.8287  265.52997]],"{'size': [672, 1008], 'counts': b'k[n8<cd03M1O1O1O1000O1O2M2O2M5IYc^;'}",0.93285584,442.0,417.0,False,False,01,08,/442-6,03,568.0,0.2113095238095238
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/442-6~0300000008.jpg,late_planting,tb1ra3,no_treatment,247,0.8512397551498986,[[334.4965  280.12848 349.20285 306.3993 ]],"{'size': [672, 1008], 'counts': b'WTl69ed03M3L3M3O1O10000001N1O2MUk`='}",0.9422807,341.0,378.0,False,False,03,08,/442-6,03,1246.0,0.4635416666666667
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/443-1~0300000008.jpg,late_planting,tb1ra3,no_treatment,181,0.9353046962629337,[[475.82922 205.75508 488.8795  224.42503]],"{'size': [672, 1008], 'counts': b'bWi9<bd04N0O100000000001O2M5I]\\d:'}",0.8959211,482.5,457.0,False,False,03,08,/443-1,03,1562.0,0.5811011904761905
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/444-1~0400000008.jpg,late_planting,tb1ra3,no_treatment,113,0.9075193825642911,[[590.8652  374.46655 601.2693  391.1234 ]],"{'size': [672, 1008], 'counts': b'RWT<3fd08M3N10000001M3M4KWgZ8'}",0.9219134,595.5,289.0,False,False,04,08,/444-1,06,1179.0,0.25063775510204084
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/tb1ra3/444-1~0500000008.jpg,late_planting,tb1ra3,no_treatment,318,0.6368568645920528,[[732.4161  171.3287  746.7234  209.02795]],"{'size': [672, 1008], 'counts': b'PlQ?`0\\d05J5L4N2O1O11O1O1K6I7J^h[5'}",0.92617995,739.5,480.5,False,False,05,08,/444-1,06,2617.0,0.5563350340136054
