row_num,plant_id,genotype,treatment,planting,tbn_no_culm,individual_tiller_len_cm,tillers_all_added_cm,height_cm_if_tillers
153,153-1,gt1B73,defoliated,early,3,0,0,0
153,153-2,gt1B73,no_treatment,early,4,"28, 22",50,128
153,153-3,gt1B73,defoliated,early,3,0,0,0
153,153-4,gt1B73,no_treatment,early,3,0,0,0
153,153-5,gt1B73,defoliated,early,3,0,0,0
153,153-6,gt1B73,no_treatment,early,5,"12, 33",45,167
153,153-7,gt1B73,defoliated,early,2,0,0,0
153,153-8,gt1B73,no_treatment,early,3,"13, 13",26,150
154,154-1,gt1ra3B73,defoliated,early,3,0,0,0
154,154-2,gt1ra3B73,no_treatment,early,3,"91, 29, 25",145,166
154,154-3,gt1ra3B73,defoliated,early,4,0,0,0
154,154-4,gt1ra3B73,no_treatment,early,8,"87, 70, 30, 15",202,160
154,154-5,gt1ra3B73,defoliated,early,5,45,45,136
154,154-6,gt1ra3B73,no_treatment,early,6,"69, 60, 40",169,155
154,154-7,gt1ra3B73,defoliated,early,,0,0,0
154,154-8,gt1ra3B73,no_treatment,early,6,"45, 25, 39",109,163
154,154-9,gt1ra3B73,defoliated,early,4,0,0,0
154,154-10,gt1ra3B73,no_treatment,early,7,"60, 60, 75",195,155
155,155-1,B73,defoliated,early,3,0,0,0
155,155-2,B73,no_treatment,early,4,0,0,0
155,155-3,B73,defoliated,early,2,0,0,0
155,155-4,B73,no_treatment,early,5,0,0,0
155,155-5,B73,defoliated,early,3,0,0,0
155,155-6,B73,no_treatment,early,4,0,0,0
155,155-7,B73,defoliated,early,2,0,0,0
155,155-8,B73,no_treatment,early,3,0,0,0
155,155-9,B73,defoliated,early,,0,0,0
156,156-1,ra3B73,defoliated,early,4,0,0,0
156,156-2,ra3B73,no_treatment,early,6,0,0,0
156,156-3,ra3B73,defoliated,early,3,0,0,0
156,156-4,ra3B73,no_treatment,early,8,0,0,0
156,156-5,ra3B73,defoliated,early,4,0,0,0
156,156-6,ra3B73,no_treatment,early,,0,0,0
156,156-7,ra3B73,defoliated,early,4,0,0,0
156,156-8,ra3B73,no_treatment,early,7,0,0,0
157,157-1,gtB73,defoliated,early,5,0,0,0
157,157-2,gtB73,no_treatment,early,3,20,20,160
157,157-3,gtB73,defoliated,early,4,5,5,106
157,157-4,gtB73,no_treatment,early,5,0,0,0
157,157-5,gtB73,defoliated,early,3,0,0,0
157,157-6,gtB73,no_treatment,early,4,"10, 10, 10",30,161
157,157-7,gtB73,defoliated,early,3,7,7,128
157,157-8,gtB73,no_treatment,early,4,50,50,153
158,158-1,gt1ra3B73,defoliated,early,6,"73, 70, 30",173,160
158,158-2,gt1ra3B73,no_treatment,early,8,"32, 49, 53",134,174
158,158-3,gt1ra3B73,defoliated,early,3,0,0,0
158,158-4,gt1ra3B73,no_treatment,early,6,"74, 72",146,163
158,158-5,gt1ra3B73,defoliated,early,3,12,12,139
