,Unnamed: 0,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized,mask_id
0,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275-5~0200000008.jpg,early_planting,b73,no_treatment,146,0.8654885686631225,[[410.5882  295.3388  426.31854 311.68604]],"{'size': [672, 1008], 'counts': b'\\P^81ld05N2M3N1O1O100O01O100O3L2O`Yn;'}",0.9403938,417.5,368.5,False,False,02,08,_275-5,05,839.5,0.20808531746031747,mask_0
1,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275-5~0400000008.jpg,early_planting,b73,no_treatment,108,0.9048680065789002,[[400.78745 312.7289  410.93314 329.1174 ]],"{'size': [672, 1008], 'counts': b'Q_W84id05M2M3O0O100001LXTX<'}",0.9594597,405.0,351.0,False,False,04,08,_275-5,05,1489.0,0.36929563492063494,mask_1
2,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275_3~0200000008.jpg,early_planting,b73,no_treatment,1366,0.7275947557640956,[[475.69516 167.55325 505.56458 229.67683]],"{'size': [672, 1008], 'counts': b'`Vi9P1oc08H5L1N7I3N1O0O10000O1000000001O2N1O2N3M3M2N4L4K6J6J7HblY:'}",0.94697165,490.5,473.0,False,False,02,08,_275_3,03,1153.0,0.4289434523809524,mask_2
3,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275_7~0000000008.jpg,early_planting,b73,no_treatment,1164,0.8508898377209779,[[510.83582    0.       548.4175    39.570732]],"{'size': [672, 1008], 'counts': b'W[_:i0Rd08L2O1N100000001O00000000O1000000000000O10000O100O1O1N2O1N2O1M3L5L3K5KTa^9'}",0.8827472,528.5,653.5,True,False,00,08,_275_7,00,653.5,0.9717261904761905,mask_3
4,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275_9~0200000008.jpg,early_planting,b73,no_treatment,973,0.7086425875393162,[[512.0882  159.58313 533.6663  217.12825]],"{'size': [672, 1008], 'counts': b'iU`:=\\d0>B;H6L3M3N2O1N100000000001O0O2O1N3L4L7Ieag9'}",0.89538884,522.0,484.5,False,False,02,08,_275_9,02,1187.5,0.5887896825396826,mask_4
5,,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized,mask_5
6,0.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2384,0.5678911087667592,[[592.3767  419.68228 635.3097  519.5538 ]],"{'size': [672, 1008], 'counts': b'adU<<\\d0<G6L4K5K4M4M2M3M4M2N2N2O1N100O100O1O100O2O0O2O1N101N2N100O1O10N2N2O2M2L5L5HP[f7'}",0.97818816,612.0,202.5,False,False,00,08,_260-1,05,202.5,0.05009920634920635,mask_6
7,1.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,3128,0.611687121216194,[[455.45303 442.7612  494.6177  551.89514]],"{'size': [672, 1008], 'counts': b'hf[9b0Ud0a0A>Hi0WO>DdMi]OR2Rb0`0N1O1O00000O101N1O10000O10O2O00000000000000001N7I:G7H8H?A>A;El^a:'}",0.96032953,474.0,171.0,False,False,00,08,_260-1,05,171.0,0.04241071428571429,mask_7
8,2.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2284,0.5637353719700228,[[502.81613 481.75342 538.74786 578.6681 ]],"{'size': [672, 1008], 'counts': b'XY[:?Ud0a0G6K4M4K3N3L3N2N2M3N2N2N2M3N2N2N2N2O1N2N2N2N2M3O1O1O02N3L8H:C;G=ZOWnc9'}",0.95905584,520.5,141.5,False,False,00,08,_260-1,05,141.5,0.034970238095238096,mask_8
9,3.0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,1291,0.5692901688885247,[[624.36774 436.70334 656.3862  509.81186]],"{'size': [672, 1008], 'counts': b'[Yk<:dd06H6K4K5K4M3M2N2N3N2M2O2O1N2N2N2O0O2O000O10N3M2M4L4L5K7ZOhWW7'}",0.9481473,640.0,198.5,False,False,00,08,_260-1,05,198.5,0.049107142857142856,mask_9
