,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2384,0.5678911087667592,[[592.3767  419.68228 635.3097  519.5538 ]],"{'size': [672, 1008], 'counts': b'adU<<\\d0<G6L4K5K4M4M2M3M4M2N2N2O1N100O100O1O100O2O0O2O1N101N2N100O1O10N2N2O2M2L5L5HP[f7'}",0.97818816,612.0,202.5,False,False,00,08,_260-1,05,202.5,0.05009920634920635
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,3128,0.611687121216194,[[455.45303 442.7612  494.6177  551.89514]],"{'size': [672, 1008], 'counts': b'hf[9b0Ud0a0A>Hi0WO>DdMi]OR2Rb0`0N1O1O00000O101N1O10000O10O2O00000000000000001N7I:G7H8H?A>A;El^a:'}",0.96032953,474.0,171.0,False,False,00,08,_260-1,05,171.0,0.04241071428571429
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2284,0.5637353719700228,[[502.81613 481.75342 538.74786 578.6681 ]],"{'size': [672, 1008], 'counts': b'XY[:?Ud0a0G6K4M4K3N3L3N2N2M3N2N2N2M3N2N2N2N2O1N2N2N2N2M3O1O1O02N3L8H:C;G=ZOWnc9'}",0.95905584,520.5,141.5,False,False,00,08,_260-1,05,141.5,0.034970238095238096
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,1291,0.5692901688885247,[[624.36774 436.70334 656.3862  509.81186]],"{'size': [672, 1008], 'counts': b'[Yk<:dd06H6K4K5K4M3M2N2N3N2M2O2O1N2N2N2O0O2O000O10N3M2M4L4L5K7ZOhWW7'}",0.9481473,640.0,198.5,False,False,00,08,_260-1,05,198.5,0.049107142857142856
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0100000008.jpg,early_planting,gt1p,no_treatment,1271,0.8150914563383584,[[544.3844  218.77434 576.8468  275.92136]],"{'size': [672, 1008], 'counts': b'flU;=_d08I6J5M2M3L4M3M3N1O2N1O100O1000000001O1O1O1O2M2O2M4L4L6G8I8E\\Xk8'}",0.9401009,560.0,425.0,False,False,01,08,_260-1,05,584.0,0.14484126984126985
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0100000008.jpg,early_planting,gt1p,no_treatment,1455,0.6033354362647528,[[569.4127  485.09558 597.03827 559.9749 ]],"{'size': [672, 1008], 'counts': b'[bf;e0Vd09I7I5K4M3L4L3M4M2M4M2N2O1O1O100001O1O1O:F7I3L:D<@hk]8'}",0.9295348,582.5,150.0,False,True,01,08,_260-1,05,34.0,0.008432539682539682
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0100000008.jpg,early_planting,gt1p,no_treatment,1785,0.6308260225701178,[[532.7408  407.04074 566.72736 486.40424]],"{'size': [672, 1008], 'counts': b'QWn:g0Ud08J5J5L3M4L201N1O1N2O1O2L3K5M3N2N2N2000000004L5J5L3M4K5K8I8F5K6HkcQ9'}",0.8802554,549.0,224.0,False,True,01,08,_260-1,05,182.0,0.04513888888888889
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0200000008.jpg,early_planting,gt1p,no_treatment,1075,0.702520930702213,[[527.51337 431.2598  554.66327 489.94803]],"{'size': [672, 1008], 'counts': b'Wnj:n0Pd03M3K4M4L3N2N2N2O1O100001O3L4M3M2N2N3L2N2O3L3M5K4La_Y9'}",0.9627714,540.5,212.0,False,True,02,08,_260-1,05,370.0,0.09176587301587301
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0200000008.jpg,early_planting,gt1p,no_treatment,1773,0.39113475033509687,[[589.5349  343.19907 617.44727 456.10657]],"{'size': [672, 1008], 'counts': b'fcS<>Zd0;D9I8K4L4M3L4M3M3M3L4L4K5K5J6K5K5M3O11O4Kk0VO7H8G9E>@XVP8'}",0.9411984,603.0,268.5,False,False,02,08,_260-1,05,539.5,0.13368055555555555
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0200000008.jpg,early_planting,gt1p,no_treatment,737,0.7404201383376954,[[474.09625 393.5592  496.54523 440.03772]],"{'size': [672, 1008], 'counts': b'Q_g97fd07I4L6J5K5M3M2N1N3M20000001O2N2N2M3L3M5K4LXc_:'}",0.91251254,484.5,255.0,False,True,02,08,_260-1,05,499.0,0.12375992063492064
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0300000008.jpg,early_planting,gt1p,no_treatment,1598,0.5415218149675746,[[578.49554 486.50308 609.4601  569.1106 ]],"{'size': [672, 1008], 'counts': b'WUm;>^d07J3N2M3M3D=J5M3M3N2M3N2N1O2N2N2N101N1O100001O0O2N3K8Bb0ZOi[U8'}",0.9914738,594.0,144.0,False,True,03,08,_260-1,05,310.0,0.07688492063492064
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0300000008.jpg,early_planting,gt1p,no_treatment,921,0.6865123195397705,[[537.3999  243.25716 566.44995 295.8062 ]],"{'size': [672, 1008], 'counts': b'UZQ;c0Xd0:F8K4L201N1O2O1O000002N4M2M3M1O2N2N3M2N4L2N2M3N2M3LY^R9'}",0.9799882,551.0,403.0,False,False,03,08,_260-1,05,1346.0,0.33382936507936506
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0300000008.jpg,early_planting,gt1p,no_treatment,628,0.5880953744682589,[[558.90533 506.9502  579.7094  559.9884 ]],"{'size': [672, 1008], 'counts': b'P\\_;5dd0?F4M1N2N2N2L4M3L4M3N2O03M3L6I6L4K5L4K5I^[h8'}",0.93371195,569.0,137.5,False,True,03,08,_260-1,05,284.0,0.07043650793650794
