,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2384,0.5678911087667592,[[592.3767  419.68228 635.3097  519.5538 ]],"{'size': [672, 1008], 'counts': b'adU<<\\d0<G6L4K5K4M4M2M3M4M2N2N2O1N100O100O1O100O2O0O2O1N101N2N100O1O10N2N2O2M2L5L5HP[f7'}",0.97818816,612.0,202.5,False,False,00,08,_260-1,05,202.5,0.05009920634920635
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,3128,0.611687121216194,[[455.45303 442.7612  494.6177  551.89514]],"{'size': [672, 1008], 'counts': b'hf[9b0Ud0a0A>Hi0WO>DdMi]OR2Rb0`0N1O1O00000O101N1O10000O10O2O00000000000000001N7I:G7H8H?A>A;El^a:'}",0.96032953,474.0,171.0,False,False,00,08,_260-1,05,171.0,0.04241071428571429
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,2284,0.5637353719700228,[[502.81613 481.75342 538.74786 578.6681 ]],"{'size': [672, 1008], 'counts': b'XY[:?Ud0a0G6K4M4K3N3L3N2N2M3N2N2N2M3N2N2N2N2O1N2N2N2N2M3O1O1O02N3L8H:C;G=ZOWnc9'}",0.95905584,520.5,141.5,False,False,00,08,_260-1,05,141.5,0.034970238095238096
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0000000008.jpg,early_planting,gt1p,no_treatment,1291,0.5692901688885247,[[624.36774 436.70334 656.3862  509.81186]],"{'size': [672, 1008], 'counts': b'[Yk<:dd06H6K4K5K4M3M2N2N3N2M2O2O1N2N2N2O0O2O000O10N3M2M4L4L5K7ZOhWW7'}",0.9481473,640.0,198.5,False,False,00,08,_260-1,05,198.5,0.049107142857142856
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0100000008.jpg,early_planting,gt1p,no_treatment,1271,0.8150914563383584,[[544.3844  218.77434 576.8468  275.92136]],"{'size': [672, 1008], 'counts': b'flU;=_d08I6J5M2M3L4M3M3N1O2N1O100O1000000001O1O1O1O2M2O2M4L4L6G8I8E\\Xk8'}",0.9401009,560.0,425.0,False,False,01,08,_260-1,05,584.0,0.14484126984126985
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0200000008.jpg,early_planting,gt1p,no_treatment,1773,0.39113475033509687,[[589.5349  343.19907 617.44727 456.10657]],"{'size': [672, 1008], 'counts': b'fcS<>Zd0;D9I8K4L4M3L4M3M3M3L4L4K5K5J6K5K5M3O11O4Kk0VO7H8G9E>@XVP8'}",0.9411984,603.0,268.5,False,False,02,08,_260-1,05,539.5,0.13368055555555555
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0300000008.jpg,early_planting,gt1p,no_treatment,921,0.6865123195397705,[[537.3999  243.25716 566.44995 295.8062 ]],"{'size': [672, 1008], 'counts': b'UZQ;c0Xd0:F8K4L201N1O2O1O000002N4M2M3M1O2N2N3M2N4L2N2M3N2M3LY^R9'}",0.9799882,551.0,403.0,False,False,03,08,_260-1,05,1346.0,0.33382936507936506
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0300000008.jpg,early_planting,gt1p,no_treatment,6253,0.6812487692872574,[[441.89624  90.0424  508.09668 228.0012 ]],"{'size': [672, 1008], 'counts': b'^`S91f0;nb0R1I7K6J6J5K6K5K5I6C=L4L4M3N2N3M3L3N1O2N1O001O010O0010O1O01OO1000001O0O1O100O101N1M4N3N1M5L2M3O1N2N2O1N3L3K5L4I8J8kMg]O10a0Pd0EfW[:'}",0.89665765,473.0,514.0,False,False,03,08,_260-1,05,1790.0,0.4439484126984127
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0400000008.jpg,early_planting,gt1p,no_treatment,847,0.8046472074788067,[[449.75504 198.26546 475.69516 244.7589 ]],"{'size': [672, 1008], 'counts': b'i`W91id0e0^O8H5L4M2N101O0001O001O1O1O001O1O2N2N1N3N1M6K5JSbm:'}",0.9815332,462.0,450.0,False,False,04,08,_260-1,05,1984.0,0.49206349206349204
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0400000008.jpg,early_planting,gt1p,no_treatment,891,0.6142449398826529,[[559.34064 341.83167 581.9668  403.01712]],"{'size': [672, 1008], 'counts': b'_k_;h0Td09H5L3N3L3L3N3N1O1O100O1001O1Ng0ZO3L4K5L4KTkg8'}",0.9695119,570.0,298.0,False,False,04,08,_260-1,05,1224.0,0.30357142857142855
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-2~0000000008.jpg,early_planting,gt1p,no_treatment,994,0.6973011331026701,[[517.4025  356.03256 542.14526 412.30225]],"{'size': [672, 1008], 'counts': b'PZd:i0Ud04K3M4M2M3N2K5M3N2O1001O001O1O1N2N3M3L5L5K6H9DU^a9'}",0.91929114,529.5,287.5,False,False,00,08,_260-2,07,287.5,0.053385416666666664
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-2~0200000008.jpg,early_planting,gt1p,no_treatment,2261,0.6498621593723612,[[411.49173   58.150887 458.3289   135.46284 ]],"{'size': [672, 1008], 'counts': b'n]^8?_d0:G5]\\OVOhb0o0i\\OnN02M3Yc0`10001O002O1N100O2O5K1OO1001OO1O1O2O0O2N1O2O0O1O1O2N1O1O2N1O2N1O2N2N3M2N1N4M3L3M6Gc_Y;'}",0.92493546,434.0,575.5,False,False,02,08,_260-2,07,1460.5,0.27157738095238093
