,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0000000008.jpg,early_planting,gt1ra3B73,defoliated,1114,0.836078105183717,[[607.1596  354.17334 637.7992  405.96802]],"{'size': [672, 1008], 'counts': b'mf^<:bd08J3L5L2N3M2N2O1O1O2N2N3M101N100O10O100O1O101N2N2N3L3N3L5J;B_^b7'}",0.98901296,622.0,292.5,False,False,00,08,266-10,09,292.5,0.04345238095238095
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0000000008.jpg,early_planting,gt1ra3B73,defoliated,3727,0.766454760490655,[[544.6997  203.08382 596.9781  294.91595]],"{'size': [672, 1008], 'counts': b'm`V;h0Ud0a0@<E;E5K4L2O1N3N1O001O1N101N1O1N200O100O10000001O00001O0000001O001O1O1O001O1O1O2L3M4L4L5F:POf\\O0ac0Fo\\OL[c0JP]OMi\\_8'}",0.95773363,570.0,423.5,False,False,00,08,266-10,09,423.5,0.06294642857142857
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0000000008.jpg,early_planting,gt1ra3B73,defoliated,2338,0.8045511583917807,[[556.81836  95.73344 606.8392  166.70305]],"{'size': [672, 1008], 'counts': b']Y^;6hd06K6g[ONYc0Q1K4L2M3N3M2O2N10O010O001O1O001O1O1O001O00001O001O001O0O2O1N2M3N2N2N2N2N2N3M101N4L3M5L4K8GdeW8'}",0.94178605,581.5,540.0,False,False,00,08,266-10,09,540.0,0.08035714285714286
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0000000008.jpg,early_planting,gt1ra3B73,defoliated,2537,0.7732287457611456,[[614.1914    59.350838 658.7001   136.52731 ]],"{'size': [672, 1008], 'counts': b'Xec<i0Sd0=E8I4K5M1N3M3N2M3N2N2O3L0010O000000001O00000O2O00001N101O1N2O0O3N2M4L4M3L3M3Mk0TOclV7'}",0.8890966,635.0,574.5,False,False,00,08,266-10,09,574.5,0.08541666666666667
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,1915,0.8113052006919126,[[541.4596    70.515396 579.7205   140.56749 ]],"{'size': [672, 1008], 'counts': b'QiS;f0Ud0:H6K5J7K3L4M2N2N1O100O1000000001O001O001O1O1O1O1O1O2N1N3N2N3L4L4L5J5J8Ef]i8'}",0.9897883,560.0,564.5,False,False,01,08,266-10,09,863.0,0.12842261904761904
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,2136,0.7564827361880224,[[548.55194 276.14944 591.46246 351.05347]],"{'size': [672, 1008], 'counts': b'mbX;a0Sd0`0I6L3M3M3M2N2N1N3I6M3M3O2O00000001O2N1O1O2N2N5K1O1O1O1O1O001N2O1O2M2N3M3L4L4L5J6EX[a8'}",0.9831949,569.5,356.5,False,False,01,08,266-10,09,447.0,0.06651785714285714
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,2698,inf,[[494.8622  268.96048 551.6231  363.50787]],"{'size': [672, 1008], 'counts': b'hhU:1hd0b0g[OAZc0Y1H6L2N3M3M2N1O2O1O0011O0O2O1N10O0100O00010O000000100OO0O2N1M4N1GnMc]OS2eb00000000j0VO4L2N2N2N2M3N1O2N2M3N1N2O1N2N4LTb[9'}",0.9812502,523.0,356.0,False,False,01,08,266-10,09,446.0,0.06636904761904762
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,2430,0.7677109044082632,[[523.52594 266.4441  571.09106 346.2458 ]],"{'size': [672, 1008], 'counts': b'mih:a0]d09G7I4M3M2N3M2N3M3M3N1N4M5J3N00001O00000010N1010O100O1000O010O0O2L4N1M4M3N2N2L;F6ImSQ9'}",0.9801626,545.5,364.5,False,False,01,08,266-10,09,463.0,0.06889880952380953
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,2191,0.6938909090680208,[[574.445     54.123383 617.37604  133.14368 ]],"{'size': [672, 1008], 'counts': b'l]i;g0Ud09J2M3N3L3N3M3M3L3O0O1O1N2K5F:O2O000001O1O2N2N3M3M3M2N1O2N2N2N1N3M2M2L5M4L3M4M3M5IR`P8'}",0.9702533,595.5,577.5,False,False,01,08,266-10,09,889.0,0.13229166666666667
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0100000008.jpg,early_planting,gt1ra3B73,defoliated,2589,0.8345988735636171,[[631.03253  46.82281 681.8745  119.60016]],"{'size': [672, 1008], 'counts': b'kUn<e0Sd0:J5K4L5M3M21O01O00001O000O100O1O1O1O1N2N2O1O1O1O1O1O100O1000000001N2N2N2M4M2M3N3M2N2N2N2N3M2N3L5Kh`f6'}",0.96638817,655.5,587.0,False,False,01,08,266-10,09,908.0,0.1351190476190476
