,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1663,0.7758061442763818,[[530.3036 463.0457 574.8205 518.128 ]],"{'size': [672, 1008], 'counts': b'_nl:>_d05K4K5L5L2O2M2O1O2N1O1O1O100O2N100O100O010O10O10O01O1O1O1O1N101N2O1N2O1M3M2N4_OQ\\OJTd03>O1Oa[l8'}",0.9845397,552.0,182.0,False,False,00,08,_266-1,09,182.0,0.027083333333333334
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,2639,0.7207016545961638,[[409.89084 201.46234 457.9197  288.59235]],"{'size': [672, 1008], 'counts': b'Vo]8>Ud0a0F8L4L3M2O2N1N3M2O1O1N2O2N1O1N2O1O1N2O1O1N2N2M3N21O2N2N1O2N2M6K2M4L3M3M2N4K4M101N1O2N1N3M?]OYfX;'}",0.9726184,434.0,425.0,False,False,00,08,_266-1,09,425.0,0.06324404761904762
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0000000008.jpg,early_planting,gt1ra3B73,no_treatment,1938,0.7029990311156749,[[459.6132  443.47952 496.1055  520.84546]],"{'size': [672, 1008], 'counts': b'S[^9h0Vd04K5M2M4L3M4K3N3L3N3M2M4N1N2M3N2O1O100O1001O1O1N3M3L3M5L3L5K5M4I7J6HXV`:'}",0.90441936,477.0,190.0,False,False,00,08,_266-1,09,190.0,0.028273809523809524
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,2096,0.6944419056537839,[[575.2542  354.0791  625.0485  426.27997]],"{'size': [672, 1008], 'counts': b'c\\j;a0Wd09L4M3M2N3O001N10001N1N2N2O1N2N1O2O1O1O001O001O0000000010O0O1O100O2N1O1O2M2O2N2M3N2N2M4K5L4K8Dndk7'}",0.9737553,599.5,282.0,False,False,01,08,_266-1,09,298.0,0.0443452380952381
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,3204,0.73885129039229,[[396.2738    35.903767 444.51788  127.1671  ]],"{'size': [672, 1008], 'counts': b'WcT8U1gc0<E6J6K3M3N2M3N1O1N2O1O2N001O1N2O1O100001O010O1O1O4L4L1O1O3L2OO100O11O003L2O1N3N4K6K4K4K4M5I\\Qb;'}",0.9700944,420.0,588.5,False,False,01,08,_266-1,09,911.0,0.13556547619047618
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,1630,0.7028717680915161,[[428.9761    41.870846 462.2287   111.40957 ]],"{'size': [672, 1008], 'counts': b'Qci81jd0m0VO4L5L2N2N4L3M6I6J2O1O1O100O1001O1O1O4QNn\\Oh1Xc0M2N1N2O2M2N2M3N3M2M4K7HjWV;'}",0.9678321,445.0,595.5,False,False,01,08,_266-1,09,925.0,0.13764880952380953
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,2253,0.7520702747869595,[[540.0878  350.08752 586.0571  427.05923]],"{'size': [672, 1008], 'counts': b'k[U;4kd05K4^[ONPd0g0F7I5J7L2N2O2N1O002N3N1N1O3N00002N0010O001O001O001O1M3N2N3M2N4K4L6J7I3M3L5LUWe8'}",0.95639855,564.0,283.0,False,False,01,08,_266-1,09,300.0,0.044642857142857144
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,1426,0.8614814122219165,[[524.8661  371.41293 561.2242  428.02914]],"{'size': [672, 1008], 'counts': b'amh:a0Xd0<G5M3O1N2N1O1O1N2O1O1O1O1O100O1000O100O1O1O1O1O2N1N3N2M2O2M2N3L4L4K5KToT9'}",0.93931234,542.5,271.0,False,False,01,08,_266-1,09,276.0,0.04107142857142857
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0100000008.jpg,early_planting,gt1ra3B73,no_treatment,3090,0.6497169177760017,[[409.79837 336.40768 447.25665 439.9661 ]],"{'size': [672, 1008], 'counts': b'h]]8n0jc0h0[O?A8I6L3M3M2O1O1N3N100O1O1O1O10000001O3L3N3M2N1O1O001N2L4L5M4M3K4J6F>E`i_;'}",0.90513885,428.0,283.0,False,False,01,08,_266-1,09,300.0,0.044642857142857144
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/no_treatment/gt1ra3_266-1~0200000008.jpg,early_planting,gt1ra3B73,no_treatment,2314,0.7035801391303885,[[440.56876 103.78833 483.0104  185.25331]],"{'size': [672, 1008], 'counts': b'\\VR9k0Rd07J6I8J4L2N1O2N1O100O1O1O1M3H8N2O1O1O100001O001O1O2N7I5K2N2N1O1N3M3M2M4J6J7G9IcQi:'}",0.9867841,461.5,526.5,False,False,02,08,_266-1,09,1313.5,0.19538690476190476
