,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-10~0400000008.jpg,early_planting,tb1,no_treatment,1201,0.6806052609785239,[[575.9624  400.43265 605.894   461.22812]],"{'size': [672, 1008], 'counts': b'lRk;8cd07K4M4K5L2L5M2M4M2M3N2N2O1N2O1O1O100O1O10O10001N2N2aNn\\Oj0kc0EkQX8'}",0.9178348,590.5,240.5,False,True,04,08,272-10,07,936.5,0.17410714285714285
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-10~0500000008.jpg,early_planting,tb1,no_treatment,1615,0.835197258494213,[[613.82477 541.04816 653.1324  600.8027 ]],"{'size': [672, 1008], 'counts': b'lTd<;^d0:I6K5L3N2M3N2N2N2N2N2N2O0O2O0O100001O002N1O001O00O010O01N2O2M2N3M5J;F5J_RY7'}",0.92864066,633.0,100.0,False,True,05,08,272-10,07,334.0,0.06212797619047619
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-10~0600000008.jpg,early_planting,tb1,no_treatment,1470,0.8518989489419782,[[690.1699    20.450834 724.2677    73.37809 ]],"{'size': [672, 1008], 'counts': b'`kT>a0Wd0<I4L4M2N2O2N1O1O100O2N100O100O100O100000000001O001N1O2O1M4M4J8ESPk5'}",0.95117325,706.0,625.5,False,False,06,08,272-10,07,4112.5,0.7648809523809523
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-10~0700000008.jpg,early_planting,tb1,no_treatment,1803,0.7973564876784002,[[689.6111  461.02115 725.1447  526.6808 ]],"{'size': [672, 1008], 'counts': b'UYU>j0Qd07L5K3N1O1N4K3O3M2N2O001O0O2O0O1O101N1000000001O0O2O1O1N2N3M3K7Ga0\\OQmi5'}",0.98207974,706.5,178.5,False,True,07,08,272-10,07,1162.0,0.21614583333333334
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0200000008.jpg,early_planting,tb1,no_treatment,209,0.9482700772852812,[[591.1801  454.3033  607.9793  473.71796]],"{'size': [672, 1008], 'counts': b'ZnT<9fd03M2O1N2O10O001O1O002N0O2O2MbfV8'}",0.94901305,599.0,208.5,False,True,02,08,_272-1,08,359.5,0.05935846560846561
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0600000008.jpg,early_planting,tb1,no_treatment,363,0.8671977112192429,[[503.65366    9.878363 523.5243    37.658978]],"{'size': [672, 1008], 'counts': b'chZ::`d09L3M101O01O001O100O100O1O1O1N2O1N3K[Xn9'}",0.8885392,513.0,648.5,False,False,06,08,_272-1,08,4273.5,0.7065145502645502
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0700000008.jpg,early_planting,tb1,no_treatment,133,0.9839856545975247,[[513.9136  106.14977 526.367   121.7714 ]],"{'size': [672, 1008], 'counts': b'`]a:1ld07K3M2O1O0010O001N2N3MaVl9'}",0.9685593,519.5,558.0,False,False,07,08,_272-1,08,4198.0,0.6941137566137566
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0700000008.jpg,early_planting,tb1,no_treatment,260,0.8719528501401062,[[503.76944 431.4856  519.9701  456.38034]],"{'size': [672, 1008], 'counts': b'bj[:?`d04M1O1O00O100010O10N2N3N2MY_P:'}",0.9391937,511.5,228.5,False,True,07,08,_272-1,08,1562.0,0.25826719576719576
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0800000008.jpg,early_planting,tb1,no_treatment,129,0.9939492668530922,[[514.13684 526.0664  527.4371  540.543  ]],"{'size': [672, 1008], 'counts': b'`_b:6jd02M2N3N1O0001O001N3M3M]Tk9'}",0.9779027,520.5,139.5,False,True,08,08,_272-1,08,989.5,0.16352513227513227
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0800000008.jpg,early_planting,tb1,no_treatment,205,0.9301213676721657,[[498.20764 182.7884  517.5665  198.34584]],"{'size': [672, 1008], 'counts': b'kdW:5jd03M2O1O001N101O000000O01001O0O2M4KXQR:'}",0.9143226,507.5,482.0,False,False,08,08,_272-1,08,4072.0,0.6732804232804233
