,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-10~0600000008.jpg,early_planting,tb1,no_treatment,1470,0.8518989489419782,[[690.1699    20.450834 724.2677    73.37809 ]],"{'size': [672, 1008], 'counts': b'`kT>a0Wd0<I4L4M2N2O2N1O1O100O2N100O100O100O100000000001O001N1O2O1M4M4J8ESPk5'}",0.95117325,706.0,625.5,False,False,06,08,272-10,07,4112.5,0.7648809523809523
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0600000008.jpg,early_planting,tb1,no_treatment,363,0.8671977112192429,[[503.65366    9.878363 523.5243    37.658978]],"{'size': [672, 1008], 'counts': b'chZ::`d09L3M101O01O001O100O100O1O1O1N2O1N3K[Xn9'}",0.8885392,513.0,648.5,False,False,06,08,_272-1,08,4273.5,0.7065145502645502
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0700000008.jpg,early_planting,tb1,no_treatment,133,0.9839856545975247,[[513.9136  106.14977 526.367   121.7714 ]],"{'size': [672, 1008], 'counts': b'`]a:1ld07K3M2O1O0010O001N2N3MaVl9'}",0.9685593,519.5,558.0,False,False,07,08,_272-1,08,4198.0,0.6941137566137566
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-1~0800000008.jpg,early_planting,tb1,no_treatment,205,0.9301213676721657,[[498.20764 182.7884  517.5665  198.34584]],"{'size': [672, 1008], 'counts': b'kdW:5jd03M2O1O001N101O000000O01001O0O2M4KXQR:'}",0.9143226,507.5,482.0,False,False,08,08,_272-1,08,4072.0,0.6732804232804233
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-2~0200000008.jpg,early_planting,tb1,no_treatment,732,0.6706763217757571,[[338.4849  273.44913 358.9239  325.07153]],"{'size': [672, 1008], 'counts': b'Phn6l0oc0:I3M3N1O2N1000000001O2N4L4K6K6I5K6CeXZ='}",0.9740597,348.0,372.5,False,False,02,08,_272-2,03,851.5,0.3165922619047619
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-2~0300000008.jpg,early_planting,tb1,no_treatment,927,0.7512131215042049,[[362.7192  180.1859  386.55975 230.86038]],"{'size': [672, 1008], 'counts': b'[]^7e0Vd09F7K5L3O1O2O0000000000O101O001O3M6I4M2M3M3Mfog<'}",0.90822357,374.0,465.5,False,False,03,08,_272-2,03,1596.0,0.59375
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-3~0100000008.jpg,early_planting,tb1,no_treatment,896,0.7370469175203938,[[433.21872 176.43991 459.23224 225.22612]],"{'size': [672, 1008], 'counts': b'fol8a0]d09I6K7H2O0O001N1O1O1O10000001O1N3N2N2M4L4L5J8IggX;'}",0.95673114,445.5,471.5,False,False,01,08,_272-3,08,677.0,0.11193783068783068
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-3~0700000008.jpg,early_planting,tb1,no_treatment,284,0.6989606094196061,[[505.09732 191.16367 518.45105 223.02428]],"{'size': [672, 1008], 'counts': b']c[:6`d0?J3M4M1O0100O2N2M4M5J6I^[Q:'}",0.97501445,511.0,464.5,False,False,07,08,_272-3,08,3450.0,0.5704365079365079
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-6~0400000008.jpg,early_planting,tb1,no_treatment,814,0.9233156015672475,[[481.45596   13.924402 511.6294    50.834846]],"{'size': [672, 1008], 'counts': b'R[l9;bd04L4M3N2M2O1O1O1O1O1O1O1O100000000O1000O2N100O2N2N2N4K4MZTV:'}",0.88532096,496.0,641.0,False,False,04,08,_272-6,07,2939.0,0.5466889880952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-7~0200000008.jpg,early_planting,tb1,no_treatment,3222,0.7483038789557379,[[603.5471    30.274017 652.412    119.606125]],"{'size': [672, 1008], 'counts': b'Z^\\<:^d0>C<E:H7J5L5K4L6J4L4M2N101N100O1000000000O10O1000001OO2O1O001O1O1O1N1O2O1N2gM^]On1Sc0G5K3N2N3L7HRa[7'}",0.96187854,626.0,597.5,False,False,02,08,_272-7,02,1526.5,0.7569444444444444
