,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1638,0.8842880826924568,[[535.76086 142.83116 572.90283 198.60498]],"{'size': [672, 1008], 'counts': b'Ymo:9`d0c0A5L4L3N2M3N2N1O1O100O100O10000O1000000000000001N2O001N2O1N2N2N3L4L5H=_ORZm8'}",0.99374044,554.0,501.0,False,False,00,08,_262-1,06,501.0,0.10650510204081633
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1080,0.8746148766830644,[[589.1706    44.560696 621.70715   91.14123 ]],"{'size': [672, 1008], 'counts': b'ZcR<6fd08I4M3L4K4N3M3N1N200O2N1O100O1O1000O1000001O0O2N2N2N2M3N2M4L6GZmm7'}",0.99179137,604.5,604.5,False,False,00,08,_262-1,06,604.5,0.1284013605442177
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,2351,0.7474478170181925,[[437.3978  162.97612 476.88303 241.92578]],"{'size': [672, 1008], 'counts': b'WnP9Q1gc0=E9J4M2N2O1O1O1O2N1O1O1O1O1O100O1O100O10000O10O2O1O1O1N2N4K4M4K7H8Gc0WOPnl:'}",0.98796844,457.5,469.5,False,False,00,08,_262-1,06,469.5,0.09970238095238096
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,783,0.7592365792866231,[[421.9379  168.51685 447.22543 216.97057]],"{'size': [672, 1008], 'counts': b'mhe8:cd07I6K5J5K5L3N2O1O001O01O001O0O2O0N3L4J6L4K8F_d`;'}",0.94038326,434.0,478.0,False,False,00,08,_262-1,06,478.0,0.1016156462585034
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1787,0.5997687273929307,[[464.21494 279.6987  497.28326 355.99548]],"{'size': [672, 1008], 'counts': b'S_a9e0Zd04L4jNVOn]Oo0ka0Ga]O<]b0T1O2O00001O000001O00001O1O1O1O1O1O2N=C4L<D2M3N2N2M4Ike_:'}",0.88337874,480.0,354.5,False,False,00,08,_262-1,06,354.5,0.07525510204081633
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,2087,0.8375580067311403,[[481.61136 377.97415 525.6766  443.60165]],"{'size': [672, 1008], 'counts': b'kfl9c0Vd0<I4L3M3M2O2M2O1O1O2O0O1O1O2O0O2N100O100O100O10000O100O01O1O1M4M2M4M3M4L4M3L4M2M4M4Ldbl9'}",0.99273914,503.0,261.0,False,True,01,08,_262-1,06,256.0,0.05442176870748299
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1680,0.861212121131342,[[537.43085 555.9148  573.8193  614.24774]],"{'size': [672, 1008], 'counts': b'ocQ;o0oc05K3M4L3N2N1O1O1O100O100O100O100O100001O001N101N101N2O1N2O2M2O2L5K4J?]OnWl8'}",0.9900675,555.5,86.5,False,True,01,08,_262-1,06,-93.0,-0.019770408163265307
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1970,0.8369630523883582,[[391.7122 327.604  435.4684 390.436 ]],"{'size': [672, 1008], 'counts': b'hWR8>`d05J5L5L8G8J3L2N3N1O1N2O1O00000010O00000000001O001O00000O10001O1O2M4M2N3L3M4L6I?_OcZh;'}",0.9875081,413.0,312.0,False,False,01,08,_262-1,06,358.0,0.07610544217687075
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1423,0.7541723267417703,[[529.3866  159.06674 563.2335  219.96115]],"{'size': [672, 1008], 'counts': b'TPl:=^d0:H5K5L2N3M2O2N1O1N2O1N2N2N2N2O1O1O1000O101O1O3M7H5L1O1N2N2N2K6I\\kS9'}",0.9799013,546.0,481.5,False,False,01,08,_262-1,06,697.0,0.148171768707483
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,2007,0.8421604498737405,[[452.05502 175.22102 492.86023 242.62897]],"{'size': [672, 1008], 'counts': b'QTZ9>_d0c0^O3N4L2N2N4L2O2M4L4L2N1O1000000000000001O00001N101N2O0O2N1O3M2O1N3M4K4M5Im]b:'}",0.97525716,472.5,462.5,False,False,01,08,_262-1,06,659.0,0.140093537414966
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1171,0.7998226512019698,[[455.60513 391.99008 492.1157  443.15652]],"{'size': [672, 1008], 'counts': b'Ye[92fd0=H5J5L5J6J5N2N101N11O10O02N2N1O1O001O1O001O1N101O1O001N2N2O2M3M2O3L7HgVb:'}",0.9702669,473.5,253.0,False,True,01,08,_262-1,06,240.0,0.05102040816326531
