,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1638,0.8842880826924568,[[535.76086 142.83116 572.90283 198.60498]],"{'size': [672, 1008], 'counts': b'Ymo:9`d0c0A5L4L3N2M3N2N1O1O100O100O10000O1000000000000001N2O001N2O1N2N2N3L4L5H=_ORZm8'}",0.99374044,554.0,501.0,False,False,00,08,_262-1,06,501.0,0.10650510204081633
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1080,0.8746148766830644,[[589.1706    44.560696 621.70715   91.14123 ]],"{'size': [672, 1008], 'counts': b'ZcR<6fd08I4M3L4K4N3M3N1N200O2N1O100O1O1000O1000001O0O2N2N2N2M3N2M4L6GZmm7'}",0.99179137,604.5,604.5,False,False,00,08,_262-1,06,604.5,0.1284013605442177
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,2351,0.7474478170181925,[[437.3978  162.97612 476.88303 241.92578]],"{'size': [672, 1008], 'counts': b'WnP9Q1gc0=E9J4M2N2O1O1O1O2N1O1O1O1O1O100O1O100O10000O10O2O1O1O1N2N4K4M4K7H8Gc0WOPnl:'}",0.98796844,457.5,469.5,False,False,00,08,_262-1,06,469.5,0.09970238095238096
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,783,0.7592365792866231,[[421.9379  168.51685 447.22543 216.97057]],"{'size': [672, 1008], 'counts': b'mhe8:cd07I6K5J5K5L3N2O1O001O01O001O0O2O0N3L4J6L4K8F_d`;'}",0.94038326,434.0,478.0,False,False,00,08,_262-1,06,478.0,0.1016156462585034
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0000000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1787,0.5997687273929307,[[464.21494 279.6987  497.28326 355.99548]],"{'size': [672, 1008], 'counts': b'S_a9e0Zd04L4jNVOn]Oo0ka0Ga]O<]b0T1O2O00001O000001O00001O1O1O1O1O1O2N=C4L<D2M3N2N2M4Ike_:'}",0.88337874,480.0,354.5,False,False,00,08,_262-1,06,354.5,0.07525510204081633
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1970,0.8369630523883582,[[391.7122 327.604  435.4684 390.436 ]],"{'size': [672, 1008], 'counts': b'hWR8>`d05J5L5L8G8J3L2N3N1O1N2O1O00000010O00000000001O001O00000O10001O1O2M4M2N3L3M4L6I?_OcZh;'}",0.9875081,413.0,312.0,False,False,01,08,_262-1,06,358.0,0.07610544217687075
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1423,0.7541723267417703,[[529.3866  159.06674 563.2335  219.96115]],"{'size': [672, 1008], 'counts': b'TPl:=^d0:H5K5L2N3M2O2N1O1N2O1N2N2N2N2O1O1O1000O101O1O3M7H5L1O1N2N2N2K6I\\kS9'}",0.9799013,546.0,481.5,False,False,01,08,_262-1,06,697.0,0.148171768707483
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,2007,0.8421604498737405,[[452.05502 175.22102 492.86023 242.62897]],"{'size': [672, 1008], 'counts': b'QTZ9>_d0c0^O3N4L2N2N4L2O2M4L4L2N1O1000000000000001O00001N101N2O0O2N1O3M2O1N3M4K4M5Im]b:'}",0.97525716,472.5,462.5,False,False,01,08,_262-1,06,659.0,0.140093537414966
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1785,0.8278177776313903,[[563.22955     1.7539017 607.2188     64.408066 ]],"{'size': [672, 1008], 'counts': b'dTb;7hd05L5K4L4L3M4K3M4L3M2N3L3N1O2N2N1O100O100O10000001O001O1N2O1N2N2N2M3M4M2M4M3K6K5J7ITiW8'}",0.9689437,584.5,638.0,False,False,01,08,_262-1,06,1010.0,0.2147108843537415
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,964,0.8449043772356234,[[594.9903    27.201363 629.4919    73.82626 ]],"{'size': [672, 1008], 'counts': b'fUW<:dd04L4M2N4L2M2O1O1O1O1O1O1O1O100O1O10O010O0010O01O1N2O1N2N2N4M4HP[i7'}",0.9665061,611.5,620.0,False,False,01,08,_262-1,06,974.0,0.2070578231292517
9,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3_het/gt1ra3tb1_262-1~0100000008.jpg,early_planting,tb1gt1ra3_het,no_treatment,1611,0.7656142141186587,[[619.35376 259.25543 674.204   310.54578]],"{'size': [672, 1008], 'counts': b'X_h<6hd04L4BGk[ON0>Sd0;01N100O2O0O100O100O100O1O1O1O10O0100O0010O10O01O010O001O001O1O10O01O1O10O01O1O1O2N1N2N3M4KjWl6'}",0.9475306,646.5,387.5,False,False,01,08,_262-1,06,509.0,0.10820578231292517
