,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,3750,0.8348696852526459,[[443.26297 128.42834 499.62347 218.37485]],"{'size': [672, 1008], 'counts': b'PaS9e0Wd07K4L4M4K5L4L4L2N4L3N2M3M2N3N0O2N2N2O0O2N1O1O101N100O1000000000000000000000O10001O1N2N2N3L4K5M2N3J6L7H:F7I7Fok]:'}",0.9871236,471.0,497.5,False,False,00,08,_264-1,08,497.5,0.08217592592592593
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,1124,0.8359969625671537,[[577.2734   90.09363 608.92676 140.53687]],"{'size': [672, 1008], 'counts': b'h]k;:bd08I4L4L4N1O2M2O1N2N2O2N1O1O2N100O10O2O001O1O1N2O2M3M3N3K4M5IcgU8'}",0.9868019,593.0,556.5,False,False,00,08,_264-1,08,556.5,0.09193121693121693
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,1925,0.8372031812660242,[[575.21765 306.8083  614.27954 372.05518]],"{'size': [672, 1008], 'counts': b'UZj;n0nc07K4M3M2N1O2N2N3M2O1N2O1N100000000O100000000001O001O001O1O1N2L4L4J6Aa0K:EjlR8'}",0.97126657,594.0,332.5,False,False,00,08,_264-1,08,332.5,0.05489417989417989
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,1009,0.9130845514233912,[[488.38312 314.8751  521.56366 354.33212]],"{'size': [672, 1008], 'counts': b'\\WQ:?]d07K3N2N1O1O1O2N1O1O100O2O0O01000000000000O1O100O1O1N2O2N1N3N3KSYo9'}",0.9447901,504.5,337.5,False,False,00,08,_264-1,08,337.5,0.05572089947089947
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,1142,0.8493848142808627,[[424.90912 181.0763  459.2776  228.49168]],"{'size': [672, 1008], 'counts': b'VSg8=`d06K4L4M4J5L4M2N2N10001O000001O1O001O1O001O2N1O1N3N2N3L4L3M4L3M4K_gX;'}",0.939725,441.0,467.5,False,False,00,08,_264-1,08,467.5,0.07721560846560846
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,730,0.7803017806793696,[[608.3374  104.51054 633.02704 149.1337 ]],"{'size': [672, 1008], 'counts': b'Pi_<>\\d08J4N3N1N3N2N1O1O1O1N200O11O005K2M3M2N3L4K5LXdf7'}",0.92055976,620.0,546.5,False,False,00,08,_264-1,08,546.5,0.09027777777777778
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0000000008.jpg,early_planting,tb1gt1ra3,no_treatment,831,0.8922502951031908,[[584.0839  335.35107 609.49854 376.78168]],"{'size': [672, 1008], 'counts': b'kbo;`0_d05I5L4M2N2N2N101O000O1000000001O00001N1O2N3M4J6JX`U8'}",0.90252286,596.0,317.0,False,False,00,08,_264-1,08,317.0,0.05241402116402116
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0100000008.jpg,early_planting,tb1gt1ra3,no_treatment,3950,0.8276545381071623,[[441.53223 522.58044 500.87906 615.0861 ]],"{'size': [672, 1008], 'counts': b'bcR9=_d08J4L3M4L3L5M3M2M5M2M4L4L3M4M2M3M2N2O1N1O2N1N2O1O1O1O101O0O100000000000O101O00001N101N1O2O1M3N2M4M2N1O3K4N2L6J7H?]Ojj\\:'}",0.99159324,470.5,102.0,False,True,01,08,_264-1,08,-62.0,-0.01025132275132275
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0100000008.jpg,early_planting,tb1gt1ra3,no_treatment,1206,0.8485682491948544,[[577.94226 491.851   611.0492  544.0066 ]],"{'size': [672, 1008], 'counts': b'\\jk;4ed0<G6L3M3M3M3N1O1N3N1N2O2O0O2N101N10O101O001O1O1O1N3M2O2M3M3L5K6GRQT8'}",0.98804957,594.0,154.0,False,True,01,08,_264-1,08,42.0,0.006944444444444444
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1gt1ra3/gt1ra3tb1_264-1~0100000008.jpg,early_planting,tb1gt1ra3,no_treatment,2469,0.7278222019674043,[[568.22894 174.81369 609.82117 255.74121]],"{'size': [672, 1008], 'counts': b'bce;R1kc08K4J4L2N2N2N2N2O1N2O2M2M3N2M3N2O1O100000000001N2O8H1O1N1O1O1O2N2M3N2L4L5J6K6FndU8'}",0.9851167,588.5,456.0,False,False,01,08,_264-1,08,646.0,0.10681216931216932
