"","row_labels","PC1","PC2","PC3","PC4","...1","Unnamed: 0","image_id","planting_date","genotype","treatment","pistil_area","pistil_circularity","bbox","segm","confidence","center_x","center_y","perimeter_intersect","possible_overlap","scan_position","scan_angle","plant_id","total_scans_for_sample","y_pos_all_overlapped","y_pos_all_overlapped_len_standardized","mask_id","year","plant"
"1","mask_0_1",-1.41871736072259,-0.449938868098117,0.436870693068639,-3.14119429538662,0,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/155-6~0500000008.jpg","early_planting","B73","no_treatment","1309","0.859691228639512","[[341.8392  277.35147 379.97867 323.97787]]","{'size': [672, 1008], 'counts': b'PgP75hd0;G7I5K4L4L3M2N3N0000000000000001O0000001O1O0O2O1O1O2N1O2N2N2N1N2O2N0O3M6Gdjk<'}","0.94137967","360.5","372.5","FALSE","FALSE","5","8","155-6","5","1969","0.488343253968254","mask_0",21,"B73_155-6"
"2","mask_0_12",-3.58400534315378,2.01697761470867,0.0387152453840894,6.25778285564384,0,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275-5~0200000008.jpg","early_planting","B73","no_treatment","146","0.8654885686631225","[[410.5882  295.3388  426.31854 311.68604]]","{'size': [672, 1008], 'counts': b'\\P^81ld05N2M3N1O1O100O01O100O3L2O`Yn;'}","0.9403938","417.5","368.5","False","False","02","08","275-5","05","839.5","0.20808531746031747","mask_0",24,"B73_275-5"
"3","mask_1_1",5.19103432100495,1.34480992813886,-1.16111840574095,-0.414239459107384,1,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/B73/no_treatment/159-4~0300000008.jpg","early_planting","B73","no_treatment","954","0.57009758375178","[[372.5435  293.24957 395.41428 357.12067]]","{'size': [672, 1008], 'counts': b'iSe75[d0c0I5K5I7J5M3L4M3M3O2O02N3M2N3M2N3M3L4L5I;[OToa<'}","0.9269356","383.5","346","FALSE","FALSE","3","8","159-4","3","1118","0.415922619047619","mask_1",21,"B73_159-4"
"4","mask_1_12",-1.91587652011609,-2.03431724662425,-3.47411270905155,1.00738051773492,1,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/b73/b73_275-5~0400000008.jpg","early_planting","B73","no_treatment","108","0.9048680065789002","[[400.78745 312.7289  410.93314 329.1174 ]]","{'size': [672, 1008], 'counts': b'Q_W84id05M2M3O0O100001LXTX<'}","0.9594597","405.0","351.0","False","False","04","08","275-5","05","1489.0","0.36929563492063494","mask_1",24,"B73_275-5"
"5","mask_10_1",2.89533786862262,0.687095893406884,1.75324612161874,0.0929700378973825,10,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1B73/no_treatment/153-2~0600000008.jpg","early_planting","gt1B73","no_treatment","751","0.634672099333158","[[368.31296 152.38332 389.27225 206.0669 ]]","{'size': [672, 1008], 'counts': b']ea79Zd0i0A9H4N1O001O01O2N1O3M2N5K2N2N3M2M5L2M5JVQf<'}","0.9219691","378","493","FALSE","FALSE","6","8","153-2","7","3185","0.592447916666667","mask_10",21,"gt1B73_153-2"
"6","mask_10_12",0.253719382118781,-1.22831890505187,0.756723859517266,0.72949799157782,10,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1p/gt1P_260-1~0100000008.jpg","early_planting","gt1p","no_treatment","1271","0.8150914563383584","[[544.3844  218.77434 576.8468  275.92136]]","{'size': [672, 1008], 'counts': b'flU;=_d08I6J5M2M3L4M3M3N1O2N1O100O1000000001O1O1O1O2M2O2M4L4L6G8I8E\\Xk8'}","0.9401009","560.0","425.0","False","False","01","08","260-1","05","584.0","0.14484126984126985","mask_10",24,"gt1p_260-1"
"7","mask_100_1",-0.740393777857706,2.85478890653601,2.37072522448281,2.25310911436771,100,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-3~0000000008.jpg","early_planting","gt1ra3B73","defoliated","1867","0.807361926828221","[[301.38605 287.15854 340.04678 355.74362]]","{'size': [672, 1008], 'counts': b'e_V6Q1lc07K1N3N2L4I7L4N2O001O001O0001O00001O001O1N2O1O2M2N3N1N2M3N2N3L3N3K5K6H[\\g='}","0.99114627","319.5","351","FALSE","FALSE","0","8","154-3","4","351","0.104464285714286","mask_100",21,"gt1ra3B73_154-3"
"8","mask_100_12",0.630114466427072,-0.155108704086499,-0.215825021057405,2.3081148219259,100,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0700000008.jpg","early_planting","gt1ra3B73","defoliated","1819","0.7409649052940688","[[635.79065  93.31551 671.06665 165.31699]]","{'size': [672, 1008], 'counts': b'V`Q=>]d09J4K5K5L3M4L3N2N2M2N3L3L4O1N2O1O100O10000001O001N101N2N3M4K7H8H:B]fm6'}","0.98068607","652.5","542.0","False","False","07","08","266-10","09","4070.0","0.6056547619047619","mask_100",24,"gt1ra3B73_266-10"
"9","mask_1000_1",5.59947137158241,-0.491715310309105,-0.95196718590668,0.904748170056571,1000,2,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","2082","0.702726108510301","[[333.16553   30.370441 372.41083  109.99635 ]]","{'size': [672, 1008], 'counts': b'XXk6b0[d06J5L5J6K3M4M2M3N3M2M2K5J7M2O1O1O1001O1O1O3M5K2N1O2M101O1O1O1O2M2N4L5J8H9DhYQ='}","0.98421997","352.5","600.5","FALSE","FALSE","4","8","158-4","6","2736.5","0.581632653061224","mask_1000",21,"gt1ra3B73_158-4"
"10","mask_1000_12",-1.67866382976092,-1.26771626942603,2.19260609279706,1.90123604222712,1000,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-7~0200000008.jpg","early_planting","tb1","no_treatment","3222","0.7483038789557379","[[603.5471    30.274017 652.412    119.606125]]","{'size': [672, 1008], 'counts': b'Z^\\<:^d0>C<E:H7J5L5K4L6J4L4M2N101N100O1000000000O10O1000001OO2O1O001O1O1O1N1O2O1N2gM^]On1Sc0G5K3N2N3L7HRa[7'}","0.96187854","626.0","597.5","False","False","02","08","272-7","02","1526.5","0.7569444444444444","mask_1000",24,"tb1_272-7"
"11","mask_1001_1",-3.93904017040266,-0.26523587436294,1.16391178406626,-1.82820302527455,1001,4,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","2894","0.755235416855759","[[303.49026 216.84529 351.12238 302.59973]]","{'size': [672, 1008], 'counts': b'UgW6i0Ud09H7I7I4L5L1O2N1N2O1O2M2O1N3N1O1O1N2O001O001O1O00010O0100O101N2N2N3M2N3M3M3L4M3L4L6H8I7H;Cba_='}","0.9783378","326.5","412","FALSE","FALSE","4","8","158-4","6","1794","0.381377551020408","mask_1001",21,"gt1ra3B73_158-4"
"12","mask_1001_12",-2.05661849133338,0.862459058997607,4.77941641752575,-1.41713346976663,1001,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-8~0300000008.jpg","early_planting","tb1","no_treatment","974","0.8120588034205384","[[483.40814 261.30045 512.0132  307.29736]]","{'size': [672, 1008], 'counts': b'oan9<\\d0<@>L3O0O2N100000000000000001O1O1O002N1O1L5L3M4L6H9GXWU:'}","0.9164051","498.0","387.5","False","False","03","08","272-8","06","1284.0","0.2729591836734694","mask_1001",24,"tb1_272-8"
"13","mask_1002_1",1.99784703642525,-3.36508857799257,0.433194664202614,-1.56341338093011,1002,5,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","2050","0.737050716442601","[[384.0845    24.725702 423.5261    99.4156  ]]","{'size': [672, 1008], 'counts': b'dfl7V1gc05M3M2N2N1N2N3M2O1O2N1O1O100O100O00100O01O1N1O101N2N1O2O0O2M3N2N4cN_\\OT1lc0K4K3M3Ljko;'}","0.9722856","403.5","610.5","FALSE","FALSE","4","8","158-4","6","2786.5","0.592261904761905","mask_1002",21,"gt1ra3B73_158-4"
"14","mask_1002_12",-1.79223174606332,2.0350447085442,-0.684062088022695,-2.9827184187215,1002,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-8~0600000008.jpg","early_planting","tb1","no_treatment","117","0.9396439624780714","[[464.30685 205.15047 476.4806  220.51881]]","{'size': [672, 1008], 'counts': b'c[a95hd04N2N2O1O000003M3M2L\\ml:'}","0.895889","470.0","459.5","False","False","06","08","272-8","06","2950.5","0.627125850340136","mask_1002",24,"tb1_272-8"
"15","mask_1003_1",-0.377597840044042,3.61975331534818,1.34598282800601,-1.14888005453772,1003,8,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","1481","0.837681038476006","[[275.53625 258.1096  316.07544 314.5035 ]]","{'size': [672, 1008], 'counts': b'Y\\e5a0]d07K2M4M2N2N2N1O2N1O2N1O1O100O100O1O010O01O00001O1N101O1O1O1N3N1O2N2M3N2M2N3K7GSkU>'}","0.9638439","295.5","385.5","FALSE","FALSE","4","8","158-4","6","1661.5","0.353103741496599","mask_1003",21,"gt1ra3B73_158-4"
"16","mask_1003_12",-7.33304146742386,-1.68931644642937,1.3046489456621,-2.36416534992986,1003,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_272-9~0000000008.jpg","early_planting","tb1","no_treatment","727","0.8833144077054524","[[497.79565 228.54692 522.95953 265.1611 ]]","{'size': [672, 1008], 'counts': b']QW:=`d0:I3L2O1N101O00000000000O1O10001O01O0O2O0O2N3L6IdQn9'}","0.91459525","510.0","425.5","False","False","00","08","272-9","00","425.5","0.6324404761904762","mask_1003",24,"tb1_272-9"
"17","mask_1004_1",3.30451388654864,-1.2612878852448,-1.79263753468689,-1.27648931999134,1004,11,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","1007","0.800371529975062","[[354.6621  135.87662 383.55054 186.83374]]","{'size': [672, 1008], 'counts': b'VTY77cd09H7K6L3L3O1N1O1N2O2N1O1O1N2O100001O1O2M2O2L3N3L4L4L9EUPj<'}","0.95023286","368.5","510.5","FALSE","FALSE","4","8","158-4","6","2286.5","0.485969387755102","mask_1004",21,"gt1ra3B73_158-4"
