,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-2~0100000008.jpg,late_planting,b73,no_treatment,1131,0.5852091879081428,[[457.62894  38.9269  483.99307 106.6271 ]],"{'size': [672, 1008], 'counts': b'Se\\93bd0?E7K5K5H8B>N2N2N2O10000001O2N2M4L3L3L4J6K6K5K5JW_h:'}",0.9380329,470.0,598.5,False,False,01,08,_291-2,06,931.0,0.19791666666666666
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-2~0200000008.jpg,late_planting,b73,no_treatment,723,0.7131660668824727,[[468.3321  183.20012 489.79587 230.51427]],"{'size': [672, 1008], 'counts': b'[Ye9f0Vd07C;L3O1O2O00000000O2O000O2N2N4K7GQ]d:'}",0.90841115,479.5,465.5,False,False,02,08,_291-2,06,1130.5,0.24022108843537415
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-2~0300000008.jpg,late_planting,b73,no_treatment,626,0.8894957959094935,[[465.58163 606.3352  488.59528 642.2019 ]],"{'size': [672, 1008], 'counts': b'Z]b9c0Zd03N3M2O2N100O101O01O000000000O10001N1O2O2Mldd:'}",0.9170624,476.5,48.5,False,True,03,08,_291-2,06,-72.0,-0.015306122448979591
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-2~0600000008.jpg,late_planting,b73,no_treatment,203,0.9726173750686965,[[429.85333 288.30026 447.3665  307.12268]],"{'size': [672, 1008], 'counts': b'XTk89ed03N1O2N10000O100001O0O2M3M4Jm``;'}",0.8941973,438.0,374.0,False,False,06,08,_291-2,06,2352.0,0.5
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-4~0400000008.jpg,late_planting,b73,no_treatment,1063,0.7511424677505756,[[584.20197 386.40054 611.0774  440.32803]],"{'size': [672, 1008], 'counts': b'fYP<l0Td02K301N1O1N3L3L4O1N3O0O1000000001O1O1O2M3N2M5K5I^iT8'}",0.96718955,597.0,259.0,False,True,04,08,_291-4,08,1029.0,0.1701388888888889
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-4~0400000008.jpg,late_planting,b73,no_treatment,2373,0.6614570524185609,[[559.2413   51.06176 599.4499  131.15642]],"{'size': [672, 1008], 'counts': b'Yb_;V1fc0>A9I5K4M3N1N2O2O000O100001O0000002N4oMY]Oa1Vc0M1O00001O001O001O1O1O1O2N1O2N3M3M4K5KnY\\8'}",0.93905294,579.0,582.0,False,False,04,08,_291-4,08,2644.0,0.43716931216931215
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-4~0500000008.jpg,late_planting,b73,no_treatment,2427,0.7599857186571376,[[558.35803 458.69034 597.06    533.45215]],"{'size': [672, 1008], 'counts': b'Xe^;b0Wd0c0A:E7K4L3N2M200O2O0O100O10000O1N200O1O100000000001O1O1O1O1O1O1O3M7I5J>C6H7G[W]8'}",0.95104396,577.0,176.5,False,True,05,08,_291-4,08,793.0,0.13111772486772486
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-4~0600000008.jpg,late_planting,b73,no_treatment,537,0.7686329861428299,[[580.28235 575.4886  599.4124  614.8841 ]],"{'size': [672, 1008], 'counts': b'hkm;8cd07K4K4M4K4N3N1O2O00000001O1N2O1M3Mlj[8'}",0.941018,589.5,77.0,False,True,06,08,_291-4,08,273.0,0.04513888888888889
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-4~0800000008.jpg,late_planting,b73,no_treatment,1506,0.6395209956190547,[[535.68384 216.86723 576.99335 278.86044]],"{'size': [672, 1008], 'counts': b'UPP;8gd03L3K5K5M3N1KVOR\\Om0mc0310M2M3M3011N1OO1O1O1N1O2N2N2N101N1000O10001N2N2N2N2N3M2N4J6_Oc0ETYk8'}",0.8928298,555.5,424.5,False,False,08,08,_291-4,08,3554.5,0.5876322751322751
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/b73/b73_291-5~0200000008.jpg,late_planting,b73,no_treatment,992,0.7056595005418744,[[466.4925   92.70199 495.59338 147.35089]],"{'size': [672, 1008], 'counts': b']bb9:dd0:G5K6I6J5K4L3N10001O01O1O2N3M1O3M1O3M4L3M1O2N2M2N4K7GPa`:'}",0.9313626,480.5,551.0,False,False,02,08,_291-5,05,1387.0,0.34399801587301587
