,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0000000008.jpg,late_planting,gt1p,no_treatment,1292,0.6723374343357802,[[535.438   277.08395 565.7012  342.99103]],"{'size': [672, 1008], 'counts': b'bQP;`0Zd0=E7I6L3M5J4M4L2O101O01O1O2N3M3N2M3M3M1N3N1N3N2M2N3M4K5KV]R9'}",0.9776243,550.0,361.0,False,False,00,08,_277-3,07,361.0,0.06715029761904762
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0100000008.jpg,late_planting,gt1p,no_treatment,1203,0.7257498205021067,[[568.8845    41.704613 599.9653    99.94988 ]],"{'size': [672, 1008], 'counts': b'`Tf;?]d05L4L3N2M3N3M2M3N2N3M2O1O1N2O0O2O10O100N2O1O1O1O1M4L5K7G?^O[f[8'}",0.94697577,584.5,601.0,False,False,01,08,_277-3,07,936.0,0.17410714285714285
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0200000008.jpg,late_planting,gt1p,no_treatment,1177,0.7448902605611327,[[570.7098  454.81476 601.11316 511.6331 ]],"{'size': [672, 1008], 'counts': b'^Vg;;^d0:J4M2N2O1M4M2N3M2N2N2N2O1N200O001O10O10000N2O1O2L4M5J:D:FZdZ8'}",0.9640384,585.5,188.0,False,True,02,08,_277-3,07,298.0,0.055431547619047616
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0200000008.jpg,late_planting,gt1p,no_treatment,1517,0.5366857124645208,[[531.7054  125.19937 564.567   205.43004]],"{'size': [672, 1008], 'counts': b'eXm:;ad0>D:G5J7H6D=K4L3O11N2N2N1N2O2M2N2N3M2N2N2N2N3L4M3M3M3L4M4J6JZkS9'}",0.8886198,547.0,507.0,False,False,02,08,_277-3,07,1255.0,0.23344494047619047
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1365,0.461400521163234,[[574.1532  198.22263 601.13153 286.7055 ]],"{'size': [672, 1008], 'counts': b'aWj;f0Tc0IS]Ol0gb0k0K5L1002N2N3M2N2N2M2O2N1N2O2M3M3M3L4M2M5K6J7HljZ8'}",0.9715935,588.0,429.0,False,False,03,08,_277-3,07,1450.0,0.2697172619047619
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1456,0.4792207289792658,[[533.1122  532.50964 564.67926 618.35913]],"{'size': [672, 1008], 'counts': b'don:m0Pd08H6WOi0M2O1O100001O2M6J3L1O2N1O2N1O3M2N3M2N2N3M2N3M3M3L6I8FXiR9'}",0.9152007,548.5,95.5,False,True,03,08,_277-3,07,116.0,0.021577380952380952
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1518,0.6548956563381285,[[649.0357     0.891497 679.5351    70.90897 ]],"{'size': [672, 1008], 'counts': b'WX[=e0Ud09I6J5L5K3M4L3L4M4L3O01000O100000O2O00002M9H2N3L3K5H:E^lg6'}",0.8940881,664.5,637.0,False,False,03,08,_277-3,07,2282.0,0.4244791666666667
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1480,0.7409969808146526,[[577.48315 604.366   609.22546 668.6202 ]],"{'size': [672, 1008], 'counts': b'omk;l0Pd05K4L4O1N2O1O1O100O1O1N2N2O1O1000000O1O100O11OO1002M4J6J7G:[OmWU8'}",0.88031083,593.0,33.5,False,True,03,08,_277-3,07,-132.0,-0.024553571428571428
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0400000008.jpg,late_planting,gt1p,no_treatment,2269,0.5024215349404341,[[607.12616 325.7315  639.7709  429.79407]],"{'size': [672, 1008], 'counts': b'd\\_<>Zd0;G7J6K4L6K4L5L2N3L3M3L4L5K4L4L4N2M2O2N2N2O000001O1N2M3M5J>Baja7'}",0.9674855,623.0,294.0,False,False,04,08,_277-3,07,1204.0,0.22395833333333334
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0400000008.jpg,late_planting,gt1p,no_treatment,1324,0.5944623156463228,[[585.43115  86.45029 618.8785  161.07787]],"{'size': [672, 1008], 'counts': b'^eP<j0Sd07H6D;N4N2N1O0100O1O1N2N1O2N2O0O3N1N100O2O0O2N2N2N1O2N2M4J6K5Jfio7'}",0.9474098,601.5,546.5,False,False,04,08,_277-3,07,2466.5,0.45870535714285715
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0600000008.jpg,late_planting,gt1p,no_treatment,823,0.47537959318365863,[[591.99445 463.2359  617.85724 527.28   ]],"{'size': [672, 1008], 'counts': b'ccU<3ld05L4L9H=D>A5L0O01N2O1N2N3M2N2N2N2N2N3M4L3L5K4L4JQ^o7'}",0.9731162,605.0,176.0,False,True,06,08,_277-3,07,966.0,0.1796875
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0600000008.jpg,late_planting,gt1p,no_treatment,1775,0.6938486938355821,[[650.8627  348.3754  687.2633  430.89526]],"{'size': [672, 1008], 'counts': b'kX\\=4ed0:G8H7K5K4M4M2N3L4N1O2N2N1N3N1N2O2M2O100N1100O1N2N2O1N2N2M2N4K5J9H:DdYb6'}",0.9612411,669.0,279.0,False,False,06,08,_277-3,07,1687.0,0.3138020833333333
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0700000008.jpg,late_planting,gt1p,no_treatment,1565,0.5565294940130048,[[646.9593  527.66956 677.22626 613.74524]],"{'size': [672, 1008], 'counts': b'VjY=c0Wd0:H6J5K5J6J6J5K5M4M2O1N2O1O1010O5K4L4L3M4L4K4M4J5K:D7YOi[O6\\ni6'}",0.8820884,661.5,99.0,False,True,07,08,_277-3,07,526.0,0.0978422619047619
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0100000008.jpg,late_planting,gt1p,no_treatment,1230,0.7682697535100695,[[477.03647 615.9967  507.03723 672.     ]],"{'size': [672, 1008], 'counts': b'\\Zj9b0Zd05L3M3M3M3N3M2N2O1O1N2O1N2O1O1O100O010001O00001N3M3L4K7I\\UX:'}",0.91749024,492.0,27.0,True,True,01,08,_277-9,07,-212.0,-0.03943452380952381
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0200000008.jpg,late_planting,gt1p,no_treatment,2034,0.824374730420478,[[412.8222    20.951345 452.38074   83.00337 ]],"{'size': [672, 1008], 'counts': b'mQ_8n0Pd08I4L3M3N1O1N101O010O2N0000001O3M00001O0O100000000001O00001O0O2O0O2M3L6J8H9Ekj\\;'}",0.92757016,432.0,619.5,False,False,02,08,_277-9,07,1592.5,0.2961309523809524
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0300000008.jpg,late_planting,gt1p,no_treatment,1236,0.6173994871377191,[[555.21094 117.65729 595.8376  182.75096]],"{'size': [672, 1008], 'counts': b'Yf];9bd06M3M2N3N1N2N2N2O1N1O2N2N1O2N2O0O1000O1O1000O10001O0O001001M3O1N2N3M5I<\\OXb_8'}",0.9095655,575.0,522.0,False,False,03,08,_277-9,07,1822.0,0.33891369047619047
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0300000008.jpg,late_planting,gt1p,no_treatment,889,0.677334139726506,[[513.86835 107.06354 539.47174 160.1219 ]],"{'size': [672, 1008], 'counts': b'YSb:a0Xd0:G8K3N3M2N2O1O1O1O1O1O0100N1N3M3L5K4M4L5K7GaZd9'}",0.88349116,526.0,538.5,False,False,03,08,_277-9,07,1888.0,0.35119047619047616
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0400000008.jpg,late_planting,gt1p,no_treatment,1010,0.6379130937412121,[[556.484   520.2331  589.2015  579.75684]],"{'size': [672, 1008], 'counts': b'cg^;:cd05L3N1N2O2N1N3N1N2O1N1O2O0O2O1O1O1N2O00000O1O10O01O02N2O2Ma0^OX^b8'}",0.9150924,573.0,122.0,False,True,04,08,_277-9,07,344.0,0.06398809523809523
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0500000008.jpg,late_planting,gt1p,no_treatment,1051,0.758190259116187,[[605.0285   74.77582 634.8784  128.39975]],"{'size': [672, 1008], 'counts': b'_i]<9ad09I5L5L2M4M2N2M3M3M4N1O10O01000O2O1O1N3N2M3M3M2M3M3M4K7CXfd7'}",0.9754115,620.0,570.0,False,False,05,08,_277-9,07,3154.0,0.5866815476190477
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0600000008.jpg,late_planting,gt1p,no_treatment,1290,0.7049758846786557,[[636.8057  360.75327 670.39746 422.31827]],"{'size': [672, 1008], 'counts': b'`RS=>_d04L4M4K4M2N3M2N2M3N3L3N101N2O1O0001O00001O0O2O1N2N2M3N2N2L5H:Dk^m6'}",0.91777396,653.5,281.0,False,False,06,08,_277-9,07,1701.0,0.31640625
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0700000008.jpg,late_planting,gt1p,no_treatment,538,0.7255967345272392,[[642.4124  364.55457 663.3665  406.68433]],"{'size': [672, 1008], 'counts': b'W[V=<ad04L4L4M2N2M3N2N2N2O100000O2O1M4L4Jb0]OQfR7'}",0.9749589,652.0,285.5,False,False,07,08,_277-9,07,2018.0,0.37537202380952384
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0700000008.jpg,late_planting,gt1p,no_treatment,671,0.6602095197354265,[[617.18066 516.5285  639.2964  565.80774]],"{'size': [672, 1008], 'counts': b'TSf<<ad05K5L3M2M3N2N2M3N2O0O2O0O2O01N2L4N3M4J8Hfda7'}",0.97288954,628.0,130.5,False,True,07,08,_277-9,07,778.0,0.14471726190476192
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-1~0200000008.jpg,late_planting,gt1p,no_treatment,715,0.8704538835724384,[[510.71716 427.52362 534.7508  467.6483 ]],"{'size': [672, 1008], 'counts': b'eh_:>`d05L4L3M2O2M2N3N1N101O0000000001O1N2O1N3M4L8FVdf9'}",0.913011,522.0,224.5,False,True,02,08,_283-1,08,407.5,0.06729497354497355
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-1~0500000008.jpg,late_planting,gt1p,no_treatment,1425,0.7634246528595654,[[389.98502 560.62756 423.99573 619.9336 ]],"{'size': [672, 1008], 'counts': b'oTQ88ed06K4k[OAcc0P1N5J7J7J1N10000O1000000000000001O1O002M2N3L3N3L4M3L5J6J8FjZo;'}",0.92901397,406.5,82.0,False,True,05,08,_283-1,08,226.0,0.03736772486772487
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-1~0600000008.jpg,late_planting,gt1p,no_treatment,1259,0.890983484654893,[[360.55524 628.55664 396.88336 672.     ]],"{'size': [672, 1008], 'counts': b'm`]7c0[d07K3L2N2N3N1N101O1N100000001N10000001O001O001O1O1O2N1O001O2M2O2N2M5Glo`<'}",0.9362383,378.0,22.0,True,True,06,08,_283-1,08,-112.0,-0.018518518518518517
