,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0000000008.jpg,late_planting,gt1p,no_treatment,1292,0.6723374343357802,[[535.438   277.08395 565.7012  342.99103]],"{'size': [672, 1008], 'counts': b'bQP;`0Zd0=E7I6L3M5J4M4L2O101O01O1O2N3M3N2M3M3M1N3N1N3N2M2N3M4K5KV]R9'}",0.9776243,550.0,361.0,False,False,00,08,_277-3,07,361.0,0.06715029761904762
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0100000008.jpg,late_planting,gt1p,no_treatment,1203,0.7257498205021067,[[568.8845    41.704613 599.9653    99.94988 ]],"{'size': [672, 1008], 'counts': b'`Tf;?]d05L4L3N2M3N3M2M3N2N3M2O1O1N2O0O2O10O100N2O1O1O1O1M4L5K7G?^O[f[8'}",0.94697577,584.5,601.0,False,False,01,08,_277-3,07,936.0,0.17410714285714285
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0200000008.jpg,late_planting,gt1p,no_treatment,1517,0.5366857124645208,[[531.7054  125.19937 564.567   205.43004]],"{'size': [672, 1008], 'counts': b'eXm:;ad0>D:G5J7H6D=K4L3O11N2N2N1N2O2M2N2N3M2N2N2N2N3L4M3M3M3L4M4J6JZkS9'}",0.8886198,547.0,507.0,False,False,02,08,_277-3,07,1255.0,0.23344494047619047
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1365,0.461400521163234,[[574.1532  198.22263 601.13153 286.7055 ]],"{'size': [672, 1008], 'counts': b'aWj;f0Tc0IS]Ol0gb0k0K5L1002N2N3M2N2N2M2O2N1N2O2M3M3M3L4M2M5K6J7HljZ8'}",0.9715935,588.0,429.0,False,False,03,08,_277-3,07,1450.0,0.2697172619047619
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0300000008.jpg,late_planting,gt1p,no_treatment,1518,0.6548956563381285,[[649.0357     0.891497 679.5351    70.90897 ]],"{'size': [672, 1008], 'counts': b'WX[=e0Ud09I6J5L5K3M4L3L4M4L3O01000O100000O2O00002M9H2N3L3K5H:E^lg6'}",0.8940881,664.5,637.0,False,False,03,08,_277-3,07,2282.0,0.4244791666666667
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0400000008.jpg,late_planting,gt1p,no_treatment,2269,0.5024215349404341,[[607.12616 325.7315  639.7709  429.79407]],"{'size': [672, 1008], 'counts': b'd\\_<>Zd0;G7J6K4L6K4L5L2N3L3M3L4L5K4L4L4N2M2O2N2N2O000001O1N2M3M5J>Baja7'}",0.9674855,623.0,294.0,False,False,04,08,_277-3,07,1204.0,0.22395833333333334
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0400000008.jpg,late_planting,gt1p,no_treatment,1324,0.5944623156463228,[[585.43115  86.45029 618.8785  161.07787]],"{'size': [672, 1008], 'counts': b'^eP<j0Sd07H6D;N4N2N1O0100O1O1N2N1O2N2O0O3N1N100O2O0O2N2N2N1O2N2M4J6K5Jfio7'}",0.9474098,601.5,546.5,False,False,04,08,_277-3,07,2466.5,0.45870535714285715
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-3~0600000008.jpg,late_planting,gt1p,no_treatment,1775,0.6938486938355821,[[650.8627  348.3754  687.2633  430.89526]],"{'size': [672, 1008], 'counts': b'kX\\=4ed0:G8H7K5K4M4M2N3L4N1O2N2N1N3N1N2O2M2O100N1100O1N2N2O1N2N2M2N4K5J9H:DdYb6'}",0.9612411,669.0,279.0,False,False,06,08,_277-3,07,1687.0,0.3138020833333333
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0200000008.jpg,late_planting,gt1p,no_treatment,2034,0.824374730420478,[[412.8222    20.951345 452.38074   83.00337 ]],"{'size': [672, 1008], 'counts': b'mQ_8n0Pd08I4L3M3N1O1N101O010O2N0000001O3M00001O0O100000000001O00001O0O2O0O2M3L6J8H9Ekj\\;'}",0.92757016,432.0,619.5,False,False,02,08,_277-9,07,1592.5,0.2961309523809524
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0300000008.jpg,late_planting,gt1p,no_treatment,1236,0.6173994871377191,[[555.21094 117.65729 595.8376  182.75096]],"{'size': [672, 1008], 'counts': b'Yf];9bd06M3M2N3N1N2N2N2O1N1O2N2N1O2N2O0O1000O1O1000O10001O0O001001M3O1N2N3M5I<\\OXb_8'}",0.9095655,575.0,522.0,False,False,03,08,_277-9,07,1822.0,0.33891369047619047
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0300000008.jpg,late_planting,gt1p,no_treatment,889,0.677334139726506,[[513.86835 107.06354 539.47174 160.1219 ]],"{'size': [672, 1008], 'counts': b'YSb:a0Xd0:G8K3N3M2N2O1O1O1O1O1O0100N1N3M3L5K4M4L5K7GaZd9'}",0.88349116,526.0,538.5,False,False,03,08,_277-9,07,1888.0,0.35119047619047616
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0500000008.jpg,late_planting,gt1p,no_treatment,1051,0.758190259116187,[[605.0285   74.77582 634.8784  128.39975]],"{'size': [672, 1008], 'counts': b'_i]<9ad09I5L5L2M4M2N2M3M3M4N1O10O01000O2O1O1N3N2M3M3M2M3M3M4K7CXfd7'}",0.9754115,620.0,570.0,False,False,05,08,_277-9,07,3154.0,0.5866815476190477
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0600000008.jpg,late_planting,gt1p,no_treatment,1290,0.7049758846786557,[[636.8057  360.75327 670.39746 422.31827]],"{'size': [672, 1008], 'counts': b'`RS=>_d04L4M4K4M2N3M2N2M3N3L3N101N2O1O0001O00001O0O2O1N2N2M3N2N2L5H:Dk^m6'}",0.91777396,653.5,281.0,False,False,06,08,_277-9,07,1701.0,0.31640625
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_277-9~0700000008.jpg,late_planting,gt1p,no_treatment,538,0.7255967345272392,[[642.4124  364.55457 663.3665  406.68433]],"{'size': [672, 1008], 'counts': b'W[V=<ad04L4L4M2N2M3N2N2N2O100000O2O1M4L4Jb0]OQfR7'}",0.9749589,652.0,285.5,False,False,07,08,_277-9,07,2018.0,0.37537202380952384
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-1~0700000008.jpg,late_planting,gt1p,no_treatment,2822,0.8148842285988073,[[385.68787   15.201836 433.887     96.09238 ]],"{'size': [672, 1008], 'counts': b'[Pn7\\1ac07J4L3M3M2N2O1N2O1N2O1N2O1O10000001O001O1O1N2O1O1O1O1N2O1O0O2N2N1N2O2M200O2N1O2M3N1O2M3M3L9\\OQeh;'}",0.90822875,410.0,615.5,False,False,07,08,_283-1,08,4658.0,0.7701719576719577
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-1~0800000008.jpg,late_planting,gt1p,no_treatment,3386,0.6012483829956918,[[383.47357 199.04115 433.46085 306.59238]],"{'size': [672, 1008], 'counts': b'TWl7=Rd0l0B9H8I5K5K8I8H5K4M1N200O10O2M2O2M3M3M2N2N2N3M1O2N1O1O1O1O1O0000001N10000O2O0O1O1N2O1O1M3M4K5M4K]Si;'}",0.98152095,408.0,418.0,False,False,08,08,_283-1,08,3496.0,0.578042328042328
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-3~0100000008.jpg,late_planting,gt1p,no_treatment,1422,0.7386356669266428,[[4.3417181e+02 2.2253859e-01 4.7192136e+02 6.1289673e+01]],"{'size': [672, 1008], 'counts': b'S_m85jd06J6K:F4L4L3M3M2N3M2N2N1O100O100O100001N1O1O1O1O1O2M2N2O2M2M3N3L5L7I6Ab[OO]PQ;'}",0.888272,452.5,642.5,False,False,01,08,_283-3,06,1019.0,0.21662414965986396
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1p/gt1P_283-3~0400000008.jpg,late_planting,gt1p,no_treatment,1574,0.8833269103132594,[[502.89984 257.00818 543.1573  309.99405]],"{'size': [672, 1008], 'counts': b'_P[:?`d06J5J4N3L3M3M2N2N2O1N1O100O101O000O10O1000000010O000001O1N2N2N2M4M3M4J6J7Eaaa9'}",0.8939566,522.5,389.0,False,False,04,08,_283-3,06,1679.0,0.35693027210884354
