,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0000000008.jpg,late_planting,gt1ra3B73,defoliated,1639,0.7659359608255978,[[486.63867 173.54929 521.8219  240.4201 ]],"{'size': [672, 1008], 'counts': b'Sio9j0Sd0<E5K3N3M2N1N3O0N201N1O1O1O100O100O10O1O1O1N2O2M2M4K6K5K5L5J8HTgP:'}",0.98990005,502.5,465.5,False,False,00,08,282-10,09,465.5,0.06919642857142858
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0000000008.jpg,late_planting,gt1ra3B73,defoliated,995,0.8276497401763075,[[460.1485  188.49628 487.9292  238.46451]],"{'size': [672, 1008], 'counts': b'eg^9>^d09H5M2M3N1N3N1N3N1N200O1O100O1000O2O1O1N2N2N3M3K5J9DhQe:'}",0.98334056,474.0,458.0,False,False,00,08,282-10,09,458.0,0.0681547619047619
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0000000008.jpg,late_planting,gt1ra3B73,defoliated,2063,0.7990273270918499,[[430.8448    36.199425 474.6751   103.14095 ]],"{'size': [672, 1008], 'counts': b'\\bk8b0[d05K4L4N2M3N2N2M2N2N2O1N2O1O2N1O1O1O1O1O1O1O001O100O10O0100O010000O101N1O1O4Kf0ZO5K5IP\\n:'}",0.9789088,452.5,602.0,False,False,00,08,282-10,09,602.0,0.08958333333333333
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0100000008.jpg,late_planting,gt1ra3B73,defoliated,2384,0.704420236764218,[[416.63223 116.13692 458.63013 199.53012]],"{'size': [672, 1008], 'counts': b'j^b8<_d0>D:F8I6I7I6J3N3M2N2O1O1O1O10000O100001O001O1O<D1O2N1O1O1O1O00001N2O0N3L4F:I9I]iX;'}",0.9758935,437.5,512.5,False,False,01,08,282-10,09,759.0,0.11294642857142857
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0100000008.jpg,late_planting,gt1ra3B73,defoliated,2137,0.6711946678390662,[[387.2079  275.8154  430.828   357.75247]],"{'size': [672, 1008], 'counts': b'dbo7d0Vd09ZOf0I6N2M3N2O0O1O2O0010O100O1O0O101N1O2N100O2N1O1O2N2N2N1O2N1O1N2O1O1O1N2O2M4L4Kloj;'}",0.9754808,409.0,355.5,False,False,01,08,282-10,09,445.0,0.0662202380952381
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0100000008.jpg,late_planting,gt1ra3B73,defoliated,2391,0.7737839394691982,[[475.98712 218.51566 519.2871  295.2546 ]],"{'size': [672, 1008], 'counts': b'WYi9;\\d0=H6K5K6L3L5K4M3L2N3M2O1N2O1O10000O1000000O100O100O10000O01O2O0O101N1O?A3M2N4Le0ZOjYQ:'}",0.97478527,497.0,414.0,False,False,01,08,282-10,09,562.0,0.08363095238095238
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0100000008.jpg,late_planting,gt1ra3B73,defoliated,2108,0.5496126194349975,[[514.5397  206.11847 549.35333 303.9588 ]],"{'size': [672, 1008], 'counts': b'TXb:8dd06K4VOi0J6M3K6L3M3M2M4M3M3M3N2N101N1O1N3O01O1N3N3M3M2L5J6K5H9I9F;E>^Oco\\9'}",0.9223953,531.5,415.0,False,False,01,08,282-10,09,564.0,0.08392857142857142
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0200000008.jpg,late_planting,gt1ra3B73,defoliated,2995,0.8380055551320214,[[510.97186   29.695238 566.90393  104.22944 ]],"{'size': [672, 1008], 'counts': b'_]_:4fd0a0B5K3K6L3M4L3N2N2N3M3M3N2N1O2N1O1O1O100O100O1O100O100O1000O1000000O10000O2M2O1N2M4M2N3M3N1N3N2N2M3M4L4L4K8DePR9'}",0.9900114,538.0,605.5,False,False,02,08,282-10,09,1550.5,0.23065476190476192
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0200000008.jpg,late_planting,gt1ra3B73,defoliated,1656,0.6921292369078007,[[484.95593 335.93964 519.1603  405.09106]],"{'size': [672, 1008], 'counts': b'bYo9e0Vd0:H4L4@`0L4N3M2N2O001N1001O001O1O2N1O2N4L7I2N2N1O1N2O2N2N2M3L4L9EXaP:'}",0.9631334,502.0,301.5,False,False,02,08,282-10,09,638.5,0.09494047619047619
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/defoliated/gt1ra3_282-10~0200000008.jpg,late_planting,gt1ra3B73,defoliated,2515,0.7198096894515031,[[403.88364 288.2565  450.76602 366.73462]],"{'size': [672, 1008], 'counts': b'U]Y8n0oc0<F6K4L3M2N3M1O1O2N101O001O01O00O10O10O010O01O00010O1O1O1O2N1O2N2N2N2N2N2N2N3M2N2N6J6J5JX`^;'}",0.93985057,426.0,345.0,False,False,02,08,282-10,09,769.0,0.1144345238095238
