,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2265,0.8342458801908824,[[463.98273 223.66661 509.88824 291.5197 ]],"{'size': [672, 1008], 'counts': b'[Qb9412`d0h0@6J3N4L1N6K4K4M2N1O1N101O001O000000000001O001O001O1O1O1O1O1O1O1N2N3M2N3M2N4L5K6I6JoVW:'}",0.9784516,487.0,414.0,False,False,00,08,_282-1,09,414.0,0.06160714285714286
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2004,0.7123267054582915,[[468.70398 577.8514  508.07324 653.57025]],"{'size': [672, 1008], 'counts': b'X\\d9<`d09H5L5J5L4L3M4L3L5L3K5M3M2N3M20001O000002N2N3M5J2O3M2N1N2O2M2N2M3N2N4K4K6K8Gh`W:'}",0.9779244,488.0,56.5,False,False,00,08,_282-1,09,56.5,0.008333333333333333
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2260,0.8262529928552034,[[528.58514 571.5397  572.3517  641.0406 ]],"{'size': [672, 1008], 'counts': b'\\\\l:P1jc06M3O3N4L2N6J2N1O1O2M100O100O1001O0000001O001O001O001O1O001O1O1N2N3L4M2M3N2L5L3L5Haam8'}",0.97504866,550.5,65.0,False,False,00,08,_282-1,09,65.0,0.009672619047619048
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2887,0.704966228816574,[[391.02158 147.32448 434.51413 240.57932]],"{'size': [672, 1008], 'counts': b'_^Q8g0Rd09\\Od0G9K4L4K5L4L3M3N2O1O1O1O1O10000O11O0O101N1O2O0N3N3L3M4L3M3N3L4M3M3L4L4M4H9H8F`Ui;'}",0.97208554,412.0,478.5,False,False,00,08,_282-1,09,478.5,0.07113095238095238
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,3202,0.6928118634370655,[[369.47552 448.147   421.80225 541.02155]],"{'size': [672, 1008], 'counts': b'ZXc76i02mb0X1H6K6J4L3M4M3M2N101O000O2N101N10O100O2cMa]OU2gb0O0O001O000010O0001O001O0O2O002M2O1N3N1N2O1N1O2O1N3M3iNe\\Od0oc0K7IS\\Q<'}",0.9412627,394.5,178.5,False,False,00,08,_282-1,09,178.5,0.026488095238095238
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0100000008.jpg,late_planting,gt1ra3B73,no_treatment,2550,0.753900031345353,[[541.0436  269.08252 590.21387 351.0712 ]],"{'size': [672, 1008], 'counts': b'ioS;>^d0b0@5K4M2N2M3O0O1O1O1O2N1O1O1O2N1O1O100O1O001O1O1O001O1O001O001O00000000O2N2N2N3N2M6Jd0[O5L6I8G`eb8'}",0.99047136,565.0,360.5,False,False,01,08,_282-1,09,455.0,0.06770833333333333
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0100000008.jpg,late_planting,gt1ra3B73,no_treatment,2447,0.6385836437615903,[[516.6423  121.74009 558.3577  211.98418]],"{'size': [672, 1008], 'counts': b'f^c::[d0a0G5L4K5L3L5K4M2M4L3H8G8M5N2N101N100001O1O1O1O2N3L3N3M2N3L4L3N2L4L6J4L5K5J6J8GiiW9'}",0.9736738,536.5,505.5,False,False,01,08,_282-1,09,745.0,0.11086309523809523
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0100000008.jpg,late_planting,gt1ra3B73,no_treatment,1822,0.7802997066564316,[[460.43857   10.255777 498.54138   77.17771 ]],"{'size': [672, 1008], 'counts': b'ab^9;]d0a0B8J4L4K5K4M4N1O1O1O2O0O010O1001O100O2N2N2N1O1O1N2O1O1O1O2M2O2M3M4K5L6Icd^:'}",0.970158,479.0,627.5,False,False,01,08,_282-1,09,989.0,0.14717261904761905
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0100000008.jpg,late_planting,gt1ra3B73,no_treatment,2993,0.6509759972912862,[[485.64478 103.9349  528.0663  202.55534]],"{'size': [672, 1008], 'counts': b'kgo9>^d07J6H9I7J6H7I8J5K4M2M4M1O1N2O1O1O1O1O1N2O1O1O1O1O100O1O100001O0O3N3Mb0]O5J7I7I<C?]ORkj9'}",0.9694373,507.0,519.0,False,False,01,08,_282-1,09,772.0,0.11488095238095238
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/gt1ra3B73/no_treatment/gt1ra3_282-1~0100000008.jpg,late_planting,gt1ra3B73,no_treatment,2981,0.6730201020672155,[[450.6013  178.61443 498.0133  273.79477]],"{'size': [672, 1008], 'counts': b'PVX9e0Xd08J3M3M3M2O3L3M3K5E:L4N3L3N2M3K4I7O101N11O001O1O1O1O1O2N1O3M2N4L4K3N3M2N1O2N2M2O2M3J6E;F<GQT_:'}",0.96920735,473.5,445.0,False,False,01,08,_282-1,09,624.0,0.09285714285714286
