,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,2507,0.7648422816543572,[[399.9972  399.37943 446.68384 476.46616]],"{'size': [672, 1008], 'counts': b'UbW8>]d0:G8I6I8K4L4M4K3N3M2N1O2N1O1O1O010O00010O01O00001O1N2O1O1O1N3N1O2N7I2N0O2O1O4L2N4K7I4L5JP\\`;'}",0.9959972,423.0,233.5,False,False,00,08,_280-1,07,233.5,0.04334077380952381
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,1852,0.8816881091914056,[[428.3295  418.0247  468.66837 477.37347]],"{'size': [672, 1008], 'counts': b'fni8>_d0=D5K6K3M3L3O0O2N1O2N1O2O0O100O10000000000001O001O001O1N2O1N1O2N2N2N3K4L5K6J9C\\YQ;'}",0.99279743,448.5,224.0,False,False,00,08,_280-1,07,224.0,0.041666666666666664
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,982,0.8340101177882203,[[507.1651  394.81866 539.5083  441.5859 ]],"{'size': [672, 1008], 'counts': b'oh]:<cd04K5K4L3N3M2N2M3N1O100O1O1O010O10O10O01O2N1O1O2M3M3H8M4J6K6I\\\\c9'}",0.98443687,523.0,254.0,False,False,00,08,_280-1,07,254.0,0.04724702380952381
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,1340,0.7589519858277246,[[527.16565 393.7995  569.761   447.9803 ]],"{'size': [672, 1008], 'counts': b'Ymj:?_d04L3M3N2M2O2N1O1N2O1O1O001O1O1O1O010O01O010O001O1O1O1O1O00100N101N100O101M3N2L?_O`fo8'}",0.97886354,548.0,252.0,False,False,00,08,_280-1,07,252.0,0.046875
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,1800,0.8196207675592857,[[511.65915 190.18626 555.59033 253.11505]],"{'size': [672, 1008], 'counts': b'Rl`:`0]d05M2N3M1O3M2M4M1N2N2O1O1N2O1O1O1N2O1O1O1O1O1O10O010O010O010O100O1O1O2M3M3M4K5M5^ORhY9'}",0.9749946,533.0,450.0,False,False,00,08,_280-1,07,450.0,0.08370535714285714
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,1402,0.8306132748859034,[[533.29694 219.11502 574.1242  272.13608]],"{'size': [672, 1008], 'counts': b'dZo:219^d0;I5K3M2O2N1N3O0O1M301N100O1O1O1000O010O00100O001O1O1O1N2O1O1N2O2M3M5I9Illm8'}",0.95487,553.0,427.5,False,False,00,08,_280-1,07,427.5,0.07942708333333333
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0000000008.jpg,late_planting,tb1gt1ra3,no_treatment,2192,0.8393691152895087,[[438.31854    0.       492.26126   51.849297]],"{'size': [672, 1008], 'counts': b'RSP9:ed04M3M3M2N3L4M3M2N1O2N2N1O2N2N2N1O2N1O001O00000000000000000000000000O100O2N1O1O1O100O1O1O1O100O1O1O1O1N3MPdb:'}",0.9449706,465.0,647.0,True,False,00,08,_280-1,07,647.0,0.12034970238095238
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0100000008.jpg,late_planting,tb1gt1ra3,no_treatment,3213,0.8403409090120875,[[443.10284 366.24353 495.80374 451.5077 ]],"{'size': [672, 1008], 'counts': b'h]T9b0Ud0<H8H7K5M3M3L5M2L4M2N2O1M200O2O0O1O100O10000000000001O001O001O1N101O1O1O1N2O1N102M2N2N3N2L4L5I8Ehm`:'}",0.98633516,469.0,261.0,False,True,01,08,_280-1,07,256.0,0.047619047619047616
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0100000008.jpg,late_planting,tb1gt1ra3,no_treatment,1136,0.8815351282883499,[[534.1267  631.07916 575.8636  671.2963 ]],"{'size': [672, 1008], 'counts': b'`QQ;=`d04L3N3N1N2N200O1N2O1O100O10000000000O100O100000000O010001N1O1O2N1O3M3M3L7Hl`k8'}",0.96094334,555.5,20.0,False,True,01,08,_280-1,07,-226.0,-0.04203869047619048
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/no_treatment/tb1gt1ra3_280-1~0100000008.jpg,late_planting,tb1gt1ra3,no_treatment,2211,0.7473674375764912,[[483.99457   51.985237 521.92773  124.79533 ]],"{'size': [672, 1008], 'counts': b'`[n9e0bc0Hb\\Og0Vc0h0I3N2N1O1O1O100O001N100000000001O0O2O1O1O010O2N1N2O2N2N2M4M2M4L6J7Hc0ZOmjn9'}",0.95656615,503.0,584.0,False,False,01,08,_280-1,07,902.0,0.16778273809523808
