,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,1757,0.8023831344495921,[[510.2323  131.39763 547.1791  196.37419]],"{'size': [672, 1008], 'counts': b'd__:e0Xd08H7J4L5L2N3N1N3N1N3N1O1O0O2O001O01O0000001O0O2O0O2N2N2N2M3K6I6G:H8J;DZ\\^9'}",0.99391854,528.5,508.0,False,False,00,08,_280-8,06,508.0,0.10799319727891156
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,2307,0.7313660150367399,[[389.7161  158.98398 432.79788 239.02818]],"{'size': [672, 1008], 'counts': b'\\iP83gd0<F6H9I5ZOROV]OR1gb0ROT]OR1ib0e0N1O2N1O2O0O1O100O10O100O10O01O001O1O001O1N2O1N3N1N2N3M3M3M3L5K5I:DPji;'}",0.992603,411.0,473.0,False,False,00,08,_280-8,06,473.0,0.10055272108843537
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,1591,0.79859697879413,[[421.8317  297.06546 456.83627 360.0482 ]],"{'size': [672, 1008], 'counts': b'Rme8h0Ud05M3L4L3M3M4J5K5N2O0O110O01O1O1O001O1O001O1O001O1O1O2M3N2M3L4L5K8EkXY;'}",0.9889942,439.5,342.5,False,False,00,08,_280-8,06,342.5,0.07270408163265306
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,1343,0.7512517032510546,[[367.4984  190.47433 406.3989  248.05031]],"{'size': [672, 1008], 'counts': b'Vfa7c0Zd07K5L3M2N2N2O1N2N2O0O1O100O10O100O00100O1O2N1O100N2O2N2N2N2N3M2N3L4K4K6Hl_[<'}",0.9856119,386.0,451.5,False,False,00,08,_280-8,06,451.5,0.09587585034013606
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,2341,0.8239526122136741,[[483.92657 178.00925 527.7118  249.97105]],"{'size': [672, 1008], 'counts': b'a_n9d0Ud0f0\\O7K4L3N2O1N3N1O2N1O1O10000O100000000001O000O2O1O1O1O1N2O1N2N2N2M3N3L3M3M3M4[OV\\OOmc0NV\\ONcgl9'}",0.9769291,505.0,458.0,False,False,00,08,_280-8,06,458.0,0.09736394557823129
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0000000008.jpg,late_planting,tb1gt1ra3,defoliated,1078,0.8090594231490545,[[392.42642 326.83575 429.33392 374.29907]],"{'size': [672, 1008], 'counts': b'cWR88ad0<I5L3N3M1O2N2O0O2N100O010O10O00010O0010O01O2N1N3N1O2M2O2M2O2M3M5Ioml;'}",0.96548414,409.5,321.0,False,False,00,08,_280-8,06,321.0,0.06823979591836735
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1562,0.8128413873316477,[[511.89774 565.10645 547.09784 626.62415]],"{'size': [672, 1008], 'counts': b'Xb`:`0^d08G6J5K5M3M3M2N3N1N3N1O1N101O000001O00001O0O2O0O2O0O2M3N2K5I8G9EVY_9'}",0.9915814,528.0,76.0,False,True,01,08,_280-8,06,-114.0,-0.02423469387755102
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1724,0.7999327636461884,[[460.44104  37.43775 496.31464  99.7531 ]],"{'size': [672, 1008], 'counts': b'nb^9`0Zd0=E7K4K6L2M4L3N2O1N100O1010O0000001O1O001O001O1O1O2M3N2N4L2N3L4M3L7Him_:'}",0.9904081,478.0,603.0,False,False,01,08,_280-8,06,940.0,0.19982993197278912
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1189,0.7808807263960122,[[366.85483 624.3356  403.81454 671.8561 ]],"{'size': [672, 1008], 'counts': b'h^a77fd0:H5K4M3L4M2N1O2O1N1O2O0O10O010O001O0000001O00001O1O2N2N1O4L2N3M6I9H7HT\\\\<'}",0.9899816,384.5,23.5,True,True,01,08,_280-8,06,-219.0,-0.046556122448979595
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1982,0.8430463545514634,[[407.59903  110.722534 447.29102  175.36783 ]],"{'size': [672, 1008], 'counts': b'[l[89^d0a0E9G6K5L3L3N2N2N2N1O1O10000O10000O101O0000O2O001O1O1N2O1O1N2N3M2N3M4K7G8Eoe`;'}",0.9893853,426.5,529.5,False,False,01,08,_280-8,06,793.0,0.16857993197278912
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1926,0.8647540936063577,[[428.849   275.4225  470.64557 340.0673 ]],"{'size': [672, 1008], 'counts': b'hji8>Zd0;J5K4M3M2N3N2M3N2N1O2N100O2N100O1O2N10O10000000000O10000O2N1O2N1O2M3M3M4J6H:FQ^Q;'}",0.9884576,448.5,362.5,False,False,01,08,_280-8,06,459.0,0.0975765306122449
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3/defoliated/tb1gt1ra3_280-8~0100000008.jpg,late_planting,tb1gt1ra3,defoliated,1866,0.7509238920595767,[[465.18414 352.48154 504.03946 425.11533]],"{'size': [672, 1008], 'counts': b'TVb9l0Rd04L4M3L3O1M2O2O0O1O1O1N2O1O1O1O1O1O1O1M3L4O1O10O2O0O3M2L4M3M3M4L3L5L4J7J]Q[:'}",0.9872114,484.0,281.5,False,False,01,08,_280-8,06,297.0,0.06313775510204081
