,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,2462,0.8197845515948736,[[606.2336  134.30823 650.9841  211.4792 ]],"{'size': [672, 1008], 'counts': b'\\`^<8`d0=H7J7H7J4L4L3N2M4M2N2N2N101N101N1O100O1O100O10000001N101N2N2O1M4L3O2M2N2M4M2L5K6J8FSiZ7'}",0.9888144,628.0,498.5,False,False,00,08,_281-8,06,498.5,0.10586734693877552
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,1941,0.6220109814244075,[[643.27515 145.30566 689.45544 222.1439 ]],"{'size': [672, 1008], 'counts': b'\\jV==^d06K5L3M4L3N2M4M2M3N2M3M3N2N2N2N2O1O0O101O01N100O2O0O2N2O1N2N2M2O2M3M2N3L4L3M4L4L3M4M4K`ka6'}",0.9849589,665.5,488.5,False,False,00,08,_281-8,06,488.5,0.10374149659863946
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,1650,0.8136029155828236,[[531.24286 145.20923 567.0334  208.3062 ]],"{'size': [672, 1008], 'counts': b'SYm:e0Wd0;G6I7K3M2M3O1M3O0O2O001O01O001O1O1O1O0O2O1O001O1N2N1O3M2N3N3K4K6I=[OiWQ9'}",0.9825288,549.0,495.5,False,False,00,08,_281-8,06,495.5,0.10522959183673469
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,1345,0.8219628842034008,[[477.21487 241.94032 515.72217 295.1049 ]],"{'size': [672, 1008], 'counts': b'Pni9=_d08I6K4L3N2O2N2N1O2O1N2N00100O000010O001O001O1O001O2N1O2N1O1N3K5K5M4L?_OZmS:'}",0.9817014,495.5,403.5,False,False,00,08,_281-8,06,403.5,0.085671768707483
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,2426,0.6700903311172794,[[492.23926 203.40082 534.0518  287.90427]],"{'size': [672, 1008], 'counts': b'c\\T:e0Xd0<F8H;F5K1O014K100O9G3M0O2O1O0O2O000010O1O2N3M2N2N1O2N1O1N3N1O2M4L5J7J9G6K4K7Hlif9'}",0.95372796,513.5,426.0,False,False,00,08,_281-8,06,426.0,0.09056122448979592
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,3406,0.7493368104794365,[[562.80255 113.67183 608.3883  214.90594]],"{'size': [672, 1008], 'counts': b'Zda;k0lc0?E6I8J6J5M3M3M3M2N3N1N2O1O2N1O1O1O1O1O010O1O0010O001O101N1O2N2M3N2M3M3M3M4M2N3M4K5K7H=_O`[V8'}",0.95030075,585.0,507.0,False,False,00,08,_281-8,06,507.0,0.10778061224489796
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,1197,0.7996224546010043,[[514.272     22.344673 548.81195   73.93012 ]],"{'size': [672, 1008], 'counts': b'feb:>`d04L2N3N1M3M4K4N2M3O2N1O1O1O1O1O2N10O1000000O1O1N3N2L3N3N3K5K8Hoj]9'}",0.918198,531.5,623.5,False,False,00,08,_281-8,06,623.5,0.1324404761904762
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0000000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,2121,0.7542485985952607,[[475.32986   0.      518.53174  67.33093]],"{'size': [672, 1008], 'counts': b'Q\\h9l0Td03M2N2N2N2N3M2N2N2N1O3M2N2N2N1N200O1O1O1O001O001O0001O00001O001O6J4L1N5J6I5J6J6IXVR:'}",0.9165247,496.0,639.0,True,False,00,08,_281-8,06,639.0,0.13584183673469388
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0100000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,1733,0.7371338710583683,[[679.2064  220.43973 715.5926  291.4637 ]],"{'size': [672, 1008], 'counts': b'Tkm=7bd0`0D8I5J5L3N2M3M3N1O2M2O1N2O1O1N2O1O1O100001O2N4L4L2N2M3N1N4K4L5K5I8FUfP6'}",0.9911015,696.0,415.0,False,False,01,08,_281-8,06,564.0,0.11989795918367346
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/late_planting/tb1gt1ra3_het/tb1gt1ra3_281-8~0100000008.jpg,late_planting,tb1gt1ra3_het,no_treatment,2279,0.7140609656809672,[[584.2697   61.30249 625.29865 141.85634]],"{'size': [672, 1008], 'counts': b'QPP<l0Pd06K4M4L3L4N2M3N3L3N2M3N2M3N1N2O1O1O1001O0O3N4K1O1O1O00001O0O101N2M3M7I6I7H8G=ZOgXk7'}",0.97531646,604.5,569.5,False,False,01,08,_281-8,06,873.0,0.18558673469387754
