plant_id,position_y,pistilsPerSpikelet,height,pos_standard,,genotype
gt1p_test2_2,38,1,1229,0.0309194467046379,,gt1p
gt1p_test2_2,62,2,1229,0.0504475183075671,,gt1p
gt1p_test2_2,81,1,1229,0.0659072416598861,,gt1p
gt1p_test2_2,95,1,1229,0.0772986167615948,,gt1p
gt1p_test2_2,167,2,1229,0.135882831570382,,gt1p
gt1p_test2_2,188,0,1229,0.152969894222945,,gt1p
gt1p_test2_2,226,0,1229,0.183889340927583,,gt1p
gt1p_test2_2,227,1,1229,0.184703010577705,,gt1p
gt1p_test2_2,278,1,1229,0.22620016273393,,gt1p
gt1p_test2_2,304,1,1229,0.247355573637103,,gt1p
gt1p_test2_2,346,1,1229,0.281529698942229,,gt1p
gt1p_test2_2,368,1,1229,0.299430431244915,,gt1p
gt1p_test2_2,377,2,1229,0.306753458096013,,gt1p
gt1p_test2_2,400,0,1229,0.32546786004882,,gt1p
gt1p_test2_2,426,1,1229,0.346623270951993,,gt1p
gt1p_test2_2,443,1,1229,0.360455655004068,,gt1p
gt1p_test2_2,501,0,1229,0.407648494711147,,gt1p
gt1p_test2_2,546,1,1229,0.44426362896664,,gt1p
gt1p_test2_2,571,0,1229,0.464605370219691,,gt1p
gt1p_test2_2,643,0,1229,0.523189585028478,,gt1p
gt1p_test2_2,650,0,1229,0.528885272579333,,gt1p
gt1p_test2_2,676,1,1229,0.550040683482506,,gt1p
gt1p_test2_2,755,0,1229,0.614320585842148,,gt1p
gt1p_test2_2,756,1,1229,0.61513425549227,,gt1p
gt1p_test2_2,775,1,1229,0.630593978844589,,gt1p
gt1p_test2_2,807,1,1229,0.656631407648495,,gt1p
gt1p_test2_2,827,1,1229,0.672904800650936,,gt1p
gt1p_test2_2,859,0,1229,0.698942229454841,,gt1p
gt1p_test2_2,877,0,1229,0.713588283157038,,gt1p
gt1p_test2_2,918,0,1229,0.746948738812042,,gt1p
gt1p_test2_2,937,0,1229,0.762408462164361,,gt1p
gt1p_test2_2,973,0,1229,0.791700569568755,,gt1p
gt1p_test2_2,1000,0,1229,0.813669650122051,,gt1p
gt1p_test2_2,1011,1,1229,0.822620016273393,,gt1p
gt1p_test2_2,1080,1,1229,0.878763222131814,,gt1p
gt1p_test2_1,101,0,897,0.112597547380156,,gt1p
gt1p_test2_1,120,1,897,0.133779264214047,,gt1p
gt1p_test2_1,150,1,897,0.167224080267559,,gt1p
gt1p_test2_1,155,1,897,0.172798216276477,,gt1p
gt1p_test2_1,215,0,897,0.239687848383501,,gt1p
gt1p_test2_1,231,1,897,0.25752508361204,,gt1p
gt1p_test2_1,234,1,897,0.260869565217391,,gt1p
gt1p_test2_1,240,0,897,0.267558528428094,,gt1p
gt1p_test2_1,245,1,897,0.273132664437012,,gt1p
gt1p_test2_1,318,1,897,0.354515050167224,,gt1p
gt1p_test2_1,331,0,897,0.369007803790412,,gt1p
gt1p_test2_1,351,1,897,0.391304347826087,,gt1p
gt1p_test2_1,410,0,897,0.457079152731327,,gt1p
gt1p_test2_1,417,1,897,0.464882943143813,,gt1p
gt1p_test2_1,432,1,897,0.481605351170569,,gt1p
gt1p_test2_1,454,1,897,0.50613154960981,,gt1p
gt1p_test2_1,469,0,897,0.522853957636566,,gt1p
