,fold_0,fold_1,fold_2,fold_3,fold_4
158-10-0200000009_jpg.rf.584a850b13d7dbe21827bedf30e9accf.jpg,False,False,False,False,True
gt1_p_test2-0100000009_jpg.rf.03f8e96c9f01575564a0194622b4f760.jpg,False,True,False,False,False
gt1_p_test2-0100000008_jpg.rf.811e30afd15f967ee6bf965bf47dd3f5.jpg,False,False,False,True,False
gt1_p_test2-0600000009_jpg.rf.77ce2949eebdecc72c9508e6138a3d7e.jpg,False,False,True,False,False
155-6-0000000008_jpg.rf.81bb8b94d45a999e7cef18f9b8eb3fea.jpg,False,False,False,True,False
ra3_ds_6_0000000000_jpg.rf.36faf16143ed7a42ef7cc83980edd4a0.jpg,False,False,False,False,True
a10_33-0100000000_jpg.rf.5c26ea65ae6b18e81a243321090ba8a3.jpg,False,False,True,False,False
a10_9-0300000000_jpg.rf.47be4b5dd296c9d61779d7a0bc6e5b21.jpg,False,False,False,True,False
a10_4-0100000000_jpg.rf.28975518fba0867886cae32da2a640ad.jpg,False,True,False,False,False
a10_33-0300000000_jpg.rf.77a272b564cc0ff09020e04ee50baff9.jpg,False,False,False,True,False
ra3gt1_4_-0500000002_jpg.rf.6e5056f1d7a90e9781c0f36c4a5f188c.jpg,True,False,False,False,False
448-1-0000000009_jpg.rf.1a0d7c489f41dc93274d89215cc9b52f.jpg,True,False,False,False,False
a10_32-0300000000_jpg.rf.672cf99b95f69057dff6f000c5ee8ad0.jpg,True,False,False,False,False
a10_15-0100000000_jpg.rf.1bba0277ee6c1eb64ab9c8e941aec011.jpg,False,False,True,False,False
a10_42-0100000000_jpg.rf.487e21153fca5bc662ebf7d4e60f2782.jpg,False,False,False,False,True
a10_59-0400000000_jpg.rf.8566138f883ccd74142390aa70cf4ab1.jpg,False,True,False,False,False
a10_31-0400000000_jpg.rf.43f1212c246474a1584aceaee0e52fa1.jpg,False,False,False,True,False
ra3-3_0100000000_jpg.rf.42d7fdecca679c5bab5b7426bead9b4d.jpg,False,False,False,True,False
a10_32-0400000000_jpg.rf.93283229aee27c862ff223666eb79158.jpg,False,False,False,False,True
a10_10-0300000000_jpg.rf.48e6952791260cbd092fa670e56d0e21.jpg,False,True,False,False,False
a10_41-0200000000_jpg.rf.64303c05f6ef666f9185beb92fb8854a.jpg,True,False,False,False,False
a10_43-0100000000_jpg.rf.0fcdcf46e2d10ebe8397b9b51ad8a0f1.jpg,False,False,True,False,False
447-8-0100000009_jpg.rf.9c1f89c615ec77370cca48842d8407df.jpg,False,False,False,True,False
a10_2-0300000000_jpg.rf.3f312b372fbbe0e90e3becdf7962f969.jpg,False,False,True,False,False
447-5-0200000009_jpg.rf.46e266b119a3be274f075ad41f20e37d.jpg,False,False,False,False,True
ra3gt1_4_-0600000002_jpg.rf.aa9e38a521175cdfab47c411f3d9c133.jpg,False,False,False,False,True
gt1_p_test3-0600000009_jpg.rf.6182593883b8a244be828230396ffdb1.jpg,False,False,False,True,False
ra3gt1_4_-0400000002_jpg.rf.a1bf052856c2503d30f79df28283dad4.jpg,False,False,False,True,False
154-10-0500000009_jpg.rf.b47f2996b81bb3b04dc9282d1367e9f9.jpg,True,False,False,False,False
A10_6_0300000000_jpg.rf.a8b08ba11fdb5bccb0f0bc709b4d70c3.jpg,True,False,False,False,False
158-2-0500000009_jpg.rf.aa3001c9b5b08919e29c393b63bd6bd0.jpg,False,False,False,False,True
gt1_p_test2-0000000009_jpg.rf.a29eb664dc4ac6d448e04f2349f7cf8d.jpg,False,False,True,False,False
405-8-0800000009_jpg.rf.a91a8f891a0af74d604664de95e33657.jpg,False,True,False,False,False
409-4-0200000009_jpg.rf.b6e80beccf291be798fad67cb72baa1d.jpg,False,True,False,False,False
158-6-0500000009_jpg.rf.b5be84b8d61ab3594089c5b9a033b859.jpg,True,False,False,False,False
402-2-0500000008_jpg.rf.b7e7b85b6049eb64a4cac01998bc94a4.jpg,False,True,False,False,False
gt1_p_test2-0400000009_jpg.rf.c034af8270f54a32603c4b9ac5e79e8c.jpg,False,False,False,True,False
a10_41-0100000000_jpg.rf.c7cef421fccad6dc74968af719674d40.jpg,False,False,False,True,False
159-6-0400000008_jpg.rf.cd3571dbae5ec80e24700eb814442883.jpg,True,False,False,False,False
154-8-0700000009_jpg.rf.e8ed9a41616701ed25d2abd13eabc820.jpg,False,False,True,False,False
